shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.07,0.07,0.07,0.07,0.07,,,,1, 1 ,0.08,0.07,0.07,0.07,0.07,,,1.00,0.00
5, 1 ,0.28,0.24,0.24,0.26,0.25,,,,5, 1 ,0.18,0.17,0.15,0.17,0.16,,,1.56,0.09
10, 1 ,0.50,0.44,0.45,0.65,0.51,,,,10, 1 ,0.30,0.25,0.26,0.26,0.26,,,1.96,0.25
20, 1 ,1.02,0.86,0.90,0.83,0.86,,,,20, 1 ,0.54,0.44,0.43,0.43,0.43,,,2.00,0.43
40, 1 ,1.89,1.61,1.66,1.77,1.68,,,,40, 1 ,0.92,0.87,0.84,0.81,0.84,,,2.00,0.84
60, 1 ,2.79,2.58,2.42,2.46,2.49,,,,60, 1 ,1.41,1.31,1.21,1.24,1.25,,,1.99,1.24
80, 1 ,3.96,3.14,3.48,3.45,3.36,,,,80, 1 ,1.84,1.66,1.67,1.69,1.67,,,2.01,1.69
100, 1 ,4.90,4.05,4.03,3.94,4.01,,,,100, 1 ,2.35,2.13,2.00,2.12,2.08,,,1.93,1.93
1, 3 ,0.08,0.08,0.07,0.07,0.07,,,,1, 3 ,0.17,0.17,0.18,0.17,0.17,,,0.41,-0.10
5, 3 ,0.33,0.27,0.36,0.29,0.31,,,,5, 3 ,0.36,0.31,0.30,0.32,0.31,,,1.00,0.00
10, 3 ,0.57,0.50,0.51,0.50,0.50,,,,10, 3 ,0.51,0.52,0.49,0.49,0.50,,,1.00,0.00
20, 3 ,1.14,1.01,0.98,0.95,0.98,,,,20, 3 ,0.96,0.85,0.88,0.85,0.86,,,1.14,0.12
40, 3 ,2.24,1.86,1.86,1.93,1.88,,,,40, 3 ,1.75,1.50,1.55,1.50,1.51,,,1.25,0.37
60, 3 ,2.93,2.80,2.68,2.62,2.70,,,,60, 3 ,2.38,2.01,2.18,2.08,2.09,,,1.29,0.61
80, 3 ,3.89,3.41,3.56,3.40,3.46,,,,80, 3 ,3.23,2.74,2.73,2.73,2.73,,,1.27,0.73
100, 3 ,4.85,4.65,4.55,4.26,4.48,,,,100, 3 ,4.16,3.23,3.56,3.32,3.37,,,1.33,1.11
1, 6 ,0.09,0.08,0.08,0.08,0.08,,,,1, 6 ,0.35,0.38,0.35,0.33,0.35,,,0.23,-0.27
5, 6 ,0.36,0.34,0.33,0.33,0.34,,,,5, 6 ,0.55,0.52,0.49,0.48,0.50,,,0.68,-0.16
10, 6 ,0.65,0.55,0.60,0.68,0.61,,,,10, 6 ,0.78,0.72,0.80,0.71,0.74,,,0.82,-0.13
20, 6 ,1.13,1.20,1.16,1.17,1.18,,,,20, 6 ,1.33,1.16,1.18,1.20,1.18,,,1.00,0.00
40, 6 ,2.50,2.28,2.20,2.02,2.17,,,,40, 6 ,2.33,1.86,1.89,1.87,1.88,,,1.15,0.29
60, 6 ,3.27,3.27,3.28,3.04,3.20,,,,60, 6 ,3.10,2.78,2.81,2.85,2.81,,,1.14,0.39
80, 6 ,4.50,4.15,4.42,4.44,4.34,,,,80, 6 ,4.10,3.48,3.59,3.50,3.52,,,1.23,0.82
100, 6 ,5.34,4.89,5.34,4.57,4.93,,,,100, 6 ,5.06,4.23,4.38,4.11,4.24,,,1.16,0.69
1, 9 ,0.10,0.09,0.09,0.09,0.09,,,,1, 9 ,0.54,0.51,0.53,0.53,0.52,,,0.17,-0.43
5, 9 ,0.38,0.33,0.36,0.37,0.35,,,,5, 9 ,0.76,0.75,0.75,0.80,0.77,,,0.45,-0.42
10, 9 ,0.67,0.62,0.60,0.63,0.62,,,,10, 9 ,1.15,0.97,1.04,0.97,0.99,,,0.63,-0.37
20, 9 ,1.33,1.30,1.38,1.33,1.34,,,,20, 9 ,1.61,1.60,1.60,1.58,1.59,,,0.84,-0.25
40, 9 ,2.46,2.68,2.63,2.73,2.68,,,,40, 9 ,3.00,2.81,2.57,2.62,2.67,,,1.00,0.01
60, 9 ,3.99,3.75,3.84,4.01,3.87,,,,60, 9 ,4.21,3.63,3.97,3.70,3.77,,,1.03,0.10
80, 9 ,4.80,5.39,5.28,5.17,5.28,,,,80, 9 ,5.44,4.76,4.80,4.44,4.67,,,1.13,0.61
100, 9 ,6.05,5.76,6.09,5.68,5.85,,,,100, 9 ,6.78,5.86,5.70,5.28,5.61,,,1.04,0.24
1, 12 ,0.12,0.10,0.11,0.11,0.11,,,,1, 12 ,0.69,0.71,0.68,0.67,0.69,,,0.16,-0.58
5, 12 ,0.39,0.35,0.39,0.40,0.38,,,,5, 12 ,0.95,0.98,0.94,0.93,0.95,,,0.40,-0.57
10, 12 ,0.77,0.71,0.69,0.69,0.70,,,,10, 12 ,1.33,1.32,1.36,1.33,1.34,,,0.52,-0.64
20, 12 ,1.51,1.35,1.28,1.41,1.35,,,,20, 12 ,2.15,1.95,2.04,2.02,2.00,,,0.68,-0.65
40, 12 ,2.85,2.74,2.65,2.68,2.69,,,,40, 12 ,3.54,3.20,3.26,3.46,3.30,,,0.82,-0.61
60, 12 ,4.21,3.92,3.88,4.24,4.01,,,,60, 12 ,4.96,4.58,4.47,4.67,4.57,,,0.88,-0.56
80, 12 ,5.59,5.39,5.19,4.92,5.16,,,,80, 12 ,6.44,6.20,6.06,5.61,5.96,,,0.87,-0.80
100, 12 ,0.01,0.01,0.01,0.01,0.01,,,,100, 12 ,0.01,0.01,0.01,0.01,0.01,,,1.00,0.00
broadcast, , , , , , avg,,,,,,,,,,,,,,
1, 1 ,0.08,0.07,0.07,0.07,0.07,,,,,,,,,,,,,,
5, 1 ,0.18,0.17,0.15,0.17,0.16,,,,,,,,,,,,,,
10, 1 ,0.30,0.25,0.26,0.26,0.26,,,,,,,,,,,,,,
20, 1 ,0.54,0.44,0.43,0.43,0.43,,,,,,,,,,,,,,
40, 1 ,0.92,0.87,0.84,0.81,0.84,,,,,,,,,,,,,,
60, 1 ,1.41,1.31,1.21,1.24,1.25,,,,,,,,,,,,,,
80, 1 ,1.84,1.66,1.67,1.69,1.67,,,,,,,,,,,,,,
100, 1 ,2.35,2.13,2.00,2.12,2.08,,,,,,,,,,,,,,
1, 3 ,0.17,0.17,0.18,0.17,0.17,,,,,,,,,,,,,,
5, 3 ,0.36,0.31,0.30,0.32,0.31,,,,,,,,,,,,,,
10, 3 ,0.51,0.52,0.49,0.49,0.50,,,,,,,,,,,,,,
20, 3 ,0.96,0.85,0.88,0.85,0.86,,,,,,,,,,,,,,
40, 3 ,1.75,1.50,1.55,1.50,1.51,,,,,,,,,,,,,,
60, 3 ,2.38,2.01,2.18,2.08,2.09,,,,,,,,,,,,,,
80, 3 ,3.23,2.74,2.73,2.73,2.73,,,,,,,,,,,,,,
100, 3 ,4.16,3.23,3.56,3.32,3.37,,,,,,,,,,,,,,
1, 6 ,0.35,0.38,0.35,0.33,0.35,,,,,,,,,,,,,,
5, 6 ,0.55,0.52,0.49,0.48,0.50,,,,,,,,,,,,,,
10, 6 ,0.78,0.72,0.80,0.71,0.74,,,,,,,,,,,,,,
20, 6 ,1.33,1.16,1.18,1.20,1.18,,,,,,,,,,,,,,
40, 6 ,2.33,1.86,1.89,1.87,1.88,,,,,,,,,,,,,,
60, 6 ,3.10,2.78,2.81,2.85,2.81,,,,,,,,,,,,,,
80, 6 ,4.10,3.48,3.59,3.50,3.52,,,,,,,,,,,,,,
100, 6 ,5.06,4.23,4.38,4.11,4.24,,,,,,,,,,,,,,
1, 9 ,0.54,0.51,0.53,0.53,0.52,,,,,,,,,,,,,,
5, 9 ,0.76,0.75,0.75,0.80,0.77,,,,,,,,,,,,,,
10, 9 ,1.15,0.97,1.04,0.97,0.99,,,,,,,,,,,,,,
20, 9 ,1.61,1.60,1.60,1.58,1.59,,,,,,,,,,,,,,
40, 9 ,3.00,2.81,2.57,2.62,2.67,,,,,,,,,,,,,,
60, 9 ,4.21,3.63,3.97,3.70,3.77,,,,,,,,,,,,,,
80, 9 ,5.44,4.76,4.80,4.44,4.67,,,,,,,,,,,,,,
100, 9 ,6.78,5.86,5.70,5.28,5.61,,,,,,,,,,,,,,
1, 12 ,0.69,0.71,0.68,0.67,0.69,,,,,,,,,,,,,,
5, 12 ,0.95,0.98,0.94,0.93,0.95,,,,,,,,,,,,,,
10, 12 ,1.33,1.32,1.36,1.33,1.34,,,,,,,,,,,,,,
20, 12 ,2.15,1.95,2.04,2.02,2.00,,,,,,,,,,,,,,
40, 12 ,3.54,3.20,3.26,3.46,3.30,,,,,,,,,,,,,,
60, 12 ,4.96,4.58,4.47,4.67,4.57,,,,,,,,,,,,,,
80, 12 ,6.44,6.20,6.06,5.61,5.96,,,,,,,,,,,,,,
100, 12 ,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,
