shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.05,0.06,0.06,0.05,0.06,,,,1, 1 ,0.08,0.07,0.07,0.07,0.07,,,0.86,-0.01
5, 1 ,0.21,0.20,0.19,0.18,0.19,,,,5, 1 ,0.16,0.16,0.16,0.15,0.16,,,1.19,0.03
10, 1 ,0.37,0.37,0.46,0.35,0.39,,,,10, 1 ,0.25,0.25,0.24,0.24,0.24,,,1.63,0.15
20, 1 ,0.66,0.67,0.79,0.67,0.71,,,,20, 1 ,0.44,0.42,0.45,0.45,0.44,,,1.61,0.27
40, 1 ,1.33,1.34,1.32,1.34,1.33,,,,40, 1 ,0.79,0.81,0.79,0.77,0.79,,,1.68,0.54
60, 1 ,1.87,1.88,2.03,1.90,1.94,,,,60, 1 ,1.15,1.13,1.11,1.15,1.13,,,1.72,0.81
80, 1 ,2.59,2.58,2.52,2.55,2.55,,,,80, 1 ,1.47,1.57,1.52,1.51,1.53,,,1.67,1.02
100, 1 ,3.40,3.18,3.03,3.05,3.09,,,,100, 1 ,2.17,1.82,1.90,1.82,1.85,,,1.67,1.24
1, 3 ,0.07,0.06,0.06,0.06,0.06,,,,1, 3 ,0.17,0.18,0.18,0.18,0.18,,,0.33,-0.12
5, 3 ,0.24,0.25,0.22,0.20,0.22,,,,5, 3 ,0.29,0.32,0.32,0.29,0.31,,,0.71,-0.09
10, 3 ,0.42,0.42,0.49,0.46,0.46,,,,10, 3 ,0.46,0.48,0.45,0.44,0.46,,,1.00,0.00
20, 3 ,0.87,0.77,0.74,0.76,0.76,,,,20, 3 ,0.80,0.77,0.80,0.69,0.76,,,1.00,0.00
40, 3 ,1.56,1.40,1.70,1.69,1.59,,,,40, 3 ,1.49,1.31,1.47,1.45,1.41,,,1.13,0.18
60, 3 ,2.56,2.09,2.23,2.44,2.25,,,,60, 3 ,2.34,2.00,1.96,1.93,1.96,,,1.15,0.29
80, 3 ,3.23,2.94,3.01,2.76,2.90,,,,80, 3 ,2.81,2.36,2.55,2.60,2.50,,,1.16,0.40
100, 3 ,3.56,3.60,3.60,3.76,3.65,,,,100, 3 ,3.68,3.42,2.89,3.34,3.22,,,1.13,0.43
1, 6 ,0.07,0.07,0.07,0.07,0.07,,,,1, 6 ,0.35,0.37,0.34,0.33,0.35,,,0.20,-0.28
5, 6 ,0.24,0.29,0.28,0.26,0.27,,,,5, 6 ,0.48,0.50,0.52,0.47,0.49,,,0.55,-0.22
10, 6 ,0.53,0.47,0.49,0.50,0.49,,,,10, 6 ,0.68,0.65,0.74,0.68,0.69,,,0.71,-0.20
20, 6 ,0.88,0.88,0.88,0.97,0.91,,,,20, 6 ,1.12,1.05,1.09,1.00,1.05,,,0.87,-0.14
40, 6 ,1.86,1.97,2.03,2.06,2.02,,,,40, 6 ,2.00,1.90,1.82,1.92,1.88,,,1.07,0.14
60, 6 ,2.80,2.79,2.84,2.59,2.74,,,,60, 6 ,2.88,2.30,2.59,2.52,2.47,,,1.11,0.27
80, 6 ,3.42,4.04,3.61,3.57,3.74,,,,80, 6 ,3.28,3.09,3.28,3.06,3.14,,,1.19,0.60
100, 6 ,4.44,4.19,4.16,4.25,4.20,,,,100, 6 ,4.20,3.77,3.53,3.58,3.63,,,1.16,0.57
1, 9 ,0.08,0.08,0.08,0.07,0.08,,,,1, 9 ,0.55,0.53,0.51,0.52,0.52,,,0.15,-0.44
5, 9 ,0.29,0.29,0.32,0.32,0.31,,,,5, 9 ,0.71,0.74,0.78,0.78,0.77,,,0.40,-0.46
10, 9 ,0.59,0.56,0.57,0.56,0.56,,,,10, 9 ,1.13,1.02,1.02,1.09,1.04,,,0.54,-0.48
20, 9 ,1.17,1.13,1.08,1.10,1.11,,,,20, 9 ,1.68,1.47,1.53,1.41,1.47,,,0.76,-0.36
40, 9 ,2.00,2.00,2.01,1.92,1.98,,,,40, 9 ,2.85,2.64,2.41,2.64,2.56,,,0.77,-0.58
60, 9 ,2.94,3.03,3.09,3.26,3.13,,,,60, 9 ,3.79,3.73,3.57,3.33,3.54,,,0.88,-0.41
80, 9 ,4.22,4.29,3.94,4.21,4.14,,,,80, 9 ,4.54,4.61,4.31,4.32,4.41,,,0.94,-0.27
100, 9 ,5.38,4.79,4.67,4.80,4.75,,,,100, 9 ,5.56,5.10,5.16,1.51,3.92,,,1.21,0.83
1, 12 ,0.10,0.09,0.09,0.09,0.09,,,,1, 12 ,0.72,0.67,0.67,0.68,0.67,,,0.13,-0.58
5, 12 ,0.35,0.30,0.34,0.32,0.32,,,,5, 12 ,0.94,1.01,0.97,1.00,0.99,,,0.32,-0.67
10, 12 ,0.62,0.63,0.61,0.58,0.60,,,,10, 12 ,1.23,1.18,1.26,1.34,1.26,,,0.48,-0.66
20, 12 ,1.07,1.07,1.10,1.15,1.11,,,,20, 12 ,1.93,1.85,1.79,1.89,1.84,,,0.60,-0.73
