shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.33,0.20,0.21,0.20,0.20,,,,1, 1 ,0.20,0.10,0.10,0.09,0.10,,,2.00,0.10
5, 1 ,1.30,0.77,0.77,0.78,0.77,,,,5, 1 ,0.67,0.33,0.31,0.33,0.32,,,2.41,0.45
10, 1 ,3.25,1.48,1.50,1.50,1.49,,,,10, 1 ,0.91,0.62,0.60,0.61,0.61,,,2.44,0.88
20, 1 ,7.08,2.91,2.91,2.91,2.91,,,,20, 1 ,1.78,1.18,1.20,1.17,1.18,,,2.47,1.73
40, 1 ,14.51,6.78,6.97,6.88,6.87,,,,40, 1 ,3.50,3.45,3.43,3.44,3.44,,,2.00,3.43
60, 1 ,21.57,10.42,10.37,10.27,10.35,,,,60, 1 ,5.15,5.13,5.12,5.13,5.12,,,2.02,5.23
80, 1 ,29.17,14.64,13.72,13.68,14.01,,,,80, 1 ,6.90,6.85,6.84,6.86,6.85,,,2.05,7.16
100, 1 ,53.92,28.57,18.00,17.87,21.48,,,,100, 1 ,46.80,23.52,7.90,7.73,13.05,,,1.65,8.43
1, 3 ,0.31,0.22,0.21,0.20,0.21,,,,1, 3 ,0.22,0.21,0.21,0.19,0.20,,,1.05,0.01
5, 3 ,1.25,0.82,0.85,0.93,0.87,,,,5, 3 ,0.64,0.46,0.46,0.48,0.47,,,1.85,0.40
10, 3 ,2.91,1.55,1.57,1.57,1.56,,,,10, 3 ,2.34,0.81,0.85,0.80,0.82,,,1.90,0.74
20, 3 ,6.66,3.09,3.06,3.32,3.15,,,,20, 3 ,2.12,1.48,1.47,1.52,1.49,,,2.11,1.66
40, 3 ,9.49,7.87,7.72,7.17,7.59,,,,40, 3 ,4.00,3.97,3.92,3.95,3.95,,,1.92,3.64
60, 3 ,21.05,10.93,11.66,11.65,11.41,,,,60, 3 ,22.57,5.99,5.94,5.85,5.93,,,1.92,5.48
80, 3 ,25.15,14.52,14.43,15.42,14.79,,,,80, 3 ,32.76,7.83,7.86,7.78,7.82,,,1.89,6.97
100, 3 ,29.89,19.08,17.74,17.58,18.13,,,,100, 3 ,8.99,8.97,8.91,8.89,8.92,,,2.03,9.21
