shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
10, 3 ,0.58,0.59,0.56,0.55,0.57,,,,,,,,,,,,,,
20, 3 ,1.06,1.01,0.99,1.03,1.01,,,,,,,,,,,,,,
40, 3 ,1.98,1.90,1.85,1.90,1.88,,,,,,,,,,,,,,
60, 3 ,2.94,2.69,2.84,2.75,2.76,,,,,,,,,,,,,,
80, 3 ,3.78,3.77,3.81,3.78,3.79,,,,,,,,,,,,,,
100, 3 ,4.59,4.49,4.53,4.59,4.54,,,,,,,,,,,,,,
1, 6 ,0.35,0.36,0.35,0.35,0.35,,,,,,,,,,,,,,
5, 6 ,0.54,0.56,0.58,0.57,0.57,,,,,,,,,,,,,,
10, 6 ,0.87,0.83,0.84,0.81,0.83,,,,,,,,,,,,,,
20, 6 ,1.43,1.35,1.34,1.41,1.37,,,,,,,,,,,,,,
40, 6 ,2.55,2.32,2.44,2.36,2.37,,,,,,,,,,,,,,
60, 6 ,3.82,3.48,3.50,3.61,3.53,,,,,,,,,,,,,,
80, 6 ,5.01,5.22,4.91,5.28,5.14,,,,,,,,,,,,,,
100, 6 ,6.18,6.28,6.13,6.24,6.22,,,,,,,,,,,,,,
1, 9 ,0.54,0.56,0.53,0.55,0.55,,,,,,,,,,,,,,
5, 9 ,0.81,0.80,0.80,0.81,0.80,,,,,,,,,,,,,,
10, 9 ,1.30,1.28,1.14,1.17,1.19,,,,,,,,,,,,,,
20, 9 ,2.14,2.00,1.85,1.88,1.91,,,,,,,,,,,,,,
40, 9 ,3.71,3.14,3.29,3.34,3.25,,,,,,,,,,,,,,
60, 9 ,5.40,4.66,4.54,4.64,4.61,,,,,,,,,,,,,,
80, 9 ,6.71,6.67,7.13,6.86,6.89,,,,,,,,,,,,,,
100, 9 ,8.28,8.30,8.33,8.05,8.22,,,,,,,,,,,,,,
1, 12 ,0.73,0.72,0.68,0.69,0.70,,,,,,,,,,,,,,
5, 12 ,1.00,1.07,1.03,1.06,1.05,,,,,,,,,,,,,,
10, 12 ,1.50,1.44,1.33,1.38,1.39,,,,,,,,,,,,,,
20, 12 ,2.47,2.26,2.32,2.40,2.33,,,,,,,,,,,,,,
40, 12 ,4.52,3.80,3.93,3.93,3.89,,,,,,,,,,,,,,
60, 12 ,6.32,5.47,5.48,5.32,5.43,,,,,,,,,,,,,,
80, 12 ,7.98,7.99,7.93,7.96,7.96,,,,,,,,,,,,,,
100, 12 ,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,
