shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.08,0.07,0.07,0.08,0.07,,,,1, 1 ,0.42,0.40,0.40,0.38,0.39,,,0.18,-0.32
5, 1 ,0.27,0.26,0.26,0.28,0.27,,,,5, 1 ,0.52,0.53,0.51,0.49,0.51,,,0.53,-0.24
10, 1 ,0.47,0.53,0.53,0.56,0.54,,,,10, 1 ,0.66,0.68,0.66,0.63,0.66,,,0.82,-0.12
20, 1 ,0.87,0.95,0.96,0.87,0.93,,,,20, 1 ,1.02,0.95,0.97,0.99,0.97,,,0.96,-0.04
40, 1 ,1.82,2.22,1.79,1.96,1.99,,,,40, 1 ,1.68,1.63,1.71,1.58,1.64,,,1.21,0.35
60, 1 ,2.46,2.78,2.68,2.47,2.64,,,,60, 1 ,2.63,2.29,2.23,2.34,2.29,,,1.15,0.35
80, 1 ,3.83,3.48,3.49,3.44,3.47,,,,80, 1 ,3.35,2.86,2.84,2.89,2.87,,,1.21,0.60
100, 1 ,4.16,3.97,3.94,4.28,4.06,,,,100, 1 ,3.66,3.47,3.21,3.34,3.34,,,1.22,0.72
1, 3 ,0.12,0.12,0.10,0.11,0.11,,,,1, 3 ,1.18,1.11,1.13,1.18,1.14,,,0.10,-1.03
5, 3 ,0.34,0.36,0.40,0.36,0.37,,,,5, 3 ,1.69,1.53,1.50,1.51,1.51,,,0.25,-1.14
10, 3 ,0.71,0.71,0.71,0.72,0.72,,,,10, 3 ,1.74,1.75,1.82,1.89,1.82,,,0.40,-1.10
20, 3 ,1.37,1.29,1.31,1.33,1.31,,,,20, 3 ,3.03,2.64,2.50,2.44,2.53,,,0.52,-1.22
40, 3 ,2.65,2.54,2.53,2.51,2.53,,,,40, 3 ,4.07,4.06,4.04,4.16,4.08,,,0.62,-1.55
60, 3 ,3.79,3.77,3.84,3.95,3.85,,,,60, 3 ,5.58,5.40,5.32,5.18,5.30,,,0.73,-1.45
80, 3 ,5.15,5.03,4.85,4.98,4.95,,,,80, 3 ,6.77,6.70,6.61,6.45,6.59,,,0.75,-1.64
100, 3 ,6.31,6.15,6.49,6.36,6.33,,,,100, 3 ,7.39,6.90,6.84,7.05,6.93,,,0.91,-0.60
1, 6 ,0.16,0.18,0.17,0.17,0.17,,,,1, 6 ,2.31,2.27,2.18,2.40,2.28,,,0.07,-2.11
5, 6 ,0.60,0.54,0.59,0.51,0.55,,,,5, 6 ,2.93,2.82,2.77,2.98,2.85,,,0.19,-2.30
10, 6 ,0.98,1.01,0.97,1.11,1.03,,,,10, 6 ,3.58,3.59,3.50,3.35,3.48,,,0.30,-2.45
20, 6 ,1.98,1.90,1.92,1.91,1.91,,,,20, 6 ,5.22,4.60,4.61,4.54,4.58,,,0.42,-2.67
40, 6 ,3.91,3.82,3.77,3.86,3.82,,,,40, 6 ,7.13,6.94,6.87,6.84,6.88,,,0.56,-3.06
60, 6 ,5.71,5.62,5.48,5.76,5.62,,,,60, 6 ,9.50,9.24,9.15,9.24,9.21,,,0.61,-3.59
80, 6 ,7.46,7.22,7.40,7.59,7.40,,,,80, 6 ,11.60,11.25,11.23,10.99,11.16,,,0.66,-3.76
100, 6 ,8.67,8.74,8.79,8.80,8.78,,,,100, 6 ,12.29,12.22,11.61,11.83,11.89,,,0.74,-3.11
1, 9 ,0.24,0.22,0.24,0.22,0.23,,,,1, 9 ,3.42,3.30,3.51,3.56,3.46,,,0.07,-3.23
5, 9 ,0.73,0.71,0.69,0.71,0.70,,,,5, 9 ,4.74,4.15,4.11,4.05,4.10,,,0.17,-3.40
10, 9 ,1.30,1.27,1.19,1.26,1.24,,,,10, 9 ,5.37,5.43,5.11,5.00,5.18,,,0.24,-3.94
20, 9 ,2.48,2.47,2.49,2.47,2.48,,,,20, 9 ,6.78,6.85,6.76,6.67,6.76,,,0.37,-4.28
40, 9 ,4.79,5.00,4.66,4.84,4.83,,,,40, 9 ,10.58,10.24,10.24,10.22,10.23,,,0.47,-5.40
60, 9 ,7.38,7.12,7.14,7.05,7.11,,,,60, 9 ,14.03,13.73,13.30,13.30,13.45,,,0.53,-6.34
80, 9 ,9.57,9.49,9.43,9.23,9.39,,,,80, 9 ,17.00,16.52,17.02,16.62,16.72,,,0.56,-7.33
100, 9 ,11.46,11.23,11.31,11.07,11.21,,,,100, 9 ,18.04,17.44,17.23,17.11,17.26,,,0.65,-6.05
1, 12 ,0.29,0.29,0.28,0.29,0.29,,,,1, 12 ,4.51,4.42,4.71,4.59,4.57,,,0.06,-4.28
5, 12 ,0.84,0.79,0.79,0.83,0.81,,,,5, 12 ,5.57,6.08,5.42,5.47,5.66,,,0.14,-4.85
10, 12 ,1.58,1.47,1.51,1.50,1.49,,,,10, 12 ,7.76,6.70,6.95,6.70,6.79,,,0.22,-5.30
