shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.11,0.08,0.08,0.08,0.08,,,,1, 1 ,0.52,0.51,0.49,0.50,0.50,,,0.16,-0.42
5, 1 ,0.31,0.25,0.28,0.28,0.27,,,,5, 1 ,0.69,0.72,0.73,0.68,0.71,,,0.38,-0.44
10, 1 ,0.51,0.51,0.54,0.53,0.52,,,,10, 1 ,0.92,0.88,0.94,0.86,0.89,,,0.58,-0.37
20, 1 ,1.10,1.07,1.01,1.15,1.08,,,,20, 1 ,1.26,1.24,1.24,1.32,1.27,,,0.85,-0.19
40, 1 ,1.97,2.01,2.09,2.15,2.08,,,,40, 1 ,2.16,2.49,2.17,2.11,2.26,,,0.92,-0.18
60, 1 ,2.99,2.80,2.95,2.94,2.90,,,,60, 1 ,3.10,2.75,2.93,2.97,2.88,,,1.01,0.02
80, 1 ,4.15,3.92,3.83,3.93,3.90,,,,80, 1 ,3.94,3.73,3.77,3.68,3.73,,,1.05,0.17
100, 1 ,5.31,4.67,4.85,4.29,4.60,,,,100, 1 ,4.45,4.40,3.65,3.64,3.90,,,1.18,0.70
1, 3 ,0.14,0.14,0.13,0.14,0.14,,,,1, 3 ,1.48,1.50,1.52,1.50,1.51,,,0.09,-1.37
5, 3 ,0.43,0.41,0.42,0.44,0.43,,,,5, 3 ,1.88,1.94,1.93,1.88,1.92,,,0.22,-1.49
10, 3 ,0.83,0.83,0.81,0.88,0.84,,,,10, 3 ,2.29,2.65,2.38,2.30,2.44,,,0.34,-1.60
20, 3 ,1.58,1.59,1.50,1.55,1.54,,,,20, 3 ,3.39,3.18,3.22,3.20,3.20,,,0.48,-1.66
40, 3 ,3.07,3.03,3.00,2.89,2.97,,,,40, 3 ,5.67,5.50,4.83,4.78,5.04,,,0.59,-2.07
60, 3 ,4.74,4.39,4.51,4.48,4.46,,,,60, 3 ,6.97,6.43,6.31,6.88,6.54,,,0.68,-2.08
80, 3 ,6.15,5.87,5.65,5.86,5.79,,,,80, 3 ,8.52,8.58,8.05,8.12,8.25,,,0.70,-2.46
100, 3 ,7.58,7.28,7.30,7.35,7.31,,,,100, 3 ,9.14,8.90,8.59,8.49,8.66,,,0.84,-1.35
1, 6 ,0.23,0.20,0.21,0.22,0.21,,,,1, 6 ,2.88,2.83,3.03,2.96,2.94,,,0.07,-2.73
5, 6 ,0.70,0.65,0.64,0.65,0.65,,,,5, 6 ,3.38,3.57,4.00,3.43,3.67,,,0.18,-3.02
10, 6 ,1.24,1.16,1.20,1.17,1.17,,,,10, 6 ,4.40,4.19,4.45,4.84,4.49,,,0.26,-3.32
20, 6 ,2.32,2.32,2.32,2.25,2.29,,,,20, 6 ,5.79,6.24,6.04,5.82,6.03,,,0.38,-3.74
40, 6 ,4.49,4.35,4.50,4.49,4.44,,,,40, 6 ,9.16,8.74,8.85,8.69,8.76,,,0.51,-4.32
60, 6 ,6.88,6.60,6.57,6.85,6.67,,,,60, 6 ,11.93,11.72,11.93,12.28,11.98,,,0.56,-5.31
80, 6 ,8.90,8.88,8.87,8.61,8.79,,,,80, 6 ,15.27,14.72,14.83,14.83,14.80,,,0.59,-6.01
100, 6 ,10.58,10.69,10.78,10.71,10.73,,,,100, 6 ,16.20,15.12,15.68,15.16,15.32,,,0.70,-4.59
1, 9 ,0.30,0.29,0.27,0.28,0.28,,,,1, 9 ,4.29,4.13,4.48,4.63,4.41,,,0.06,-4.13
5, 9 ,0.84,0.85,0.85,0.86,0.86,,,,5, 9 ,5.49,5.48,5.42,5.14,5.35,,,0.16,-4.49
10, 9 ,1.66,1.54,1.58,1.60,1.57,,,,10, 9 ,6.94,6.28,6.31,6.51,6.37,,,0.25,-4.80
20, 9 ,3.06,3.00,3.01,2.98,3.00,,,,20, 9 ,9.06,8.71,8.75,8.71,8.72,,,0.34,-5.72
40, 9 ,6.31,5.82,6.01,5.98,5.94,,,,40, 9 ,13.66,13.08,13.62,13.04,13.25,,,0.45,-7.31
60, 9 ,9.45,8.90,8.69,8.83,8.80,,,,60, 9 ,18.01,17.83,17.42,17.36,17.54,,,0.50,-8.74
80, 9 ,11.95,11.65,11.55,11.99,11.73,,,,80, 9 ,22.24,21.72,21.26,21.66,21.54,,,0.54,-9.81
100, 9 ,13.84,13.77,13.57,13.79,13.71,,,,100, 9 ,23.54,22.41,22.92,22.74,22.69,,,0.60,-8.98
1, 12 ,0.41,0.36,0.36,0.34,0.35,,,,1, 12 ,5.75,5.48,5.98,5.67,5.71,,,0.06,-5.36
5, 12 ,0.99,1.07,1.01,1.06,1.05,,,,5, 12 ,7.33,7.34,7.42,6.96,7.24,,,0.15,-6.19
10, 12 ,1.99,1.92,1.89,1.92,1.91,,,,10, 12 ,9.48,8.97,8.47,8.62,8.69,,,0.22,-6.78
20, 12 ,3.75,3.69,3.62,3.80,3.70,,,,20, 12 ,11.42,11.49,12.02,11.45,11.65,,,0.32,-7.95
40, 12 ,7.20,7.15,7.14,7.01,7.10,,,,40, 12 ,17.70,17.81,17.50,17.72,17.68,,,0.40,-10.58
60, 12 ,10.69,10.59,10.27,10.37,10.41,,,,60, 12 ,24.52,23.59,23.06,23.40,23.35,,,0.45,-12.94
80, 12 ,14.22,14.19,13.93,14.34,14.15,,,,80, 12 ,30.01,29.79,29.25,29.23,29.42,,,0.48,-15.27
100, 12 ,16.97,16.35,16.48,16.66,16.50,,,,100, 12 ,31.55,30.28,30.35,30.62,30.42,,,0.54,-13.92
broadcast, , , , , , avg,,,,,,,,,,,,,,
1, 1 ,0.52,0.51,0.49,0.50,0.50,,,,,,,,,,,,,,
5, 1 ,0.69,0.72,0.73,0.68,0.71,,,,,,,,,,,,,,
10, 1 ,0.92,0.88,0.94,0.86,0.89,,,,,,,,,,,,,,
20, 1 ,1.26,1.24,1.24,1.32,1.27,,,,,,,,,,,,,,
40, 1 ,2.16,2.49,2.17,2.11,2.26,,,,,,,,,,,,,,
60, 1 ,3.10,2.75,2.93,2.97,2.88,,,,,,,,,,,,,,
80, 1 ,3.94,3.73,3.77,3.68,3.73,,,,,,,,,,,,,,
100, 1 ,4.45,4.40,3.65,3.64,3.90,,,,,,,,,,,,,,
1, 3 ,1.48,1.50,1.52,1.50,1.51,,,,,,,,,,,,,,
5, 3 ,1.88,1.94,1.93,1.88,1.92,,,,,,,,,,,,,,
10, 3 ,2.29,2.65,2.38,2.30,2.44,,,,,,,,,,,,,,
20, 3 ,3.39,3.18,3.22,3.20,3.20,,,,,,,,,,,,,,
40, 3 ,5.67,5.50,4.83,4.78,5.04,,,,,,,,,,,,,,
60, 3 ,6.97,6.43,6.31,6.88,6.54,,,,,,,,,,,,,,
80, 3 ,8.52,8.58,8.05,8.12,8.25,,,,,,,,,,,,,,
100, 3 ,9.14,8.90,8.59,8.49,8.66,,,,,,,,,,,,,,
1, 6 ,2.88,2.83,3.03,2.96,2.94,,,,,,,,,,,,,,
5, 6 ,3.38,3.57,4.00,3.43,3.67,,,,,,,,,,,,,,
10, 6 ,4.40,4.19,4.45,4.84,4.49,,,,,,,,,,,,,,
20, 6 ,5.79,6.24,6.04,5.82,6.03,,,,,,,,,,,,,,
40, 6 ,9.16,8.74,8.85,8.69,8.76,,,,,,,,,,,,,,
60, 6 ,11.93,11.72,11.93,12.28,11.98,,,,,,,,,,,,,,
80, 6 ,15.27,14.72,14.83,14.83,14.80,,,,,,,,,,,,,,
100, 6 ,16.20,15.12,15.68,15.16,15.32,,,,,,,,,,,,,,
1, 9 ,4.29,4.13,4.48,4.63,4.41,,,,,,,,,,,,,,
5, 9 ,5.49,5.48,5.42,5.14,5.35,,,,,,,,,,,,,,
10, 9 ,6.94,6.28,6.31,6.51,6.37,,,,,,,,,,,,,,
20, 9 ,9.06,8.71,8.75,8.71,8.72,,,,,,,,,,,,,,
40, 9 ,13.66,13.08,13.62,13.04,13.25,,,,,,,,,,,,,,
60, 9 ,18.01,17.83,17.42,17.36,17.54,,,,,,,,,,,,,,
80, 9 ,22.24,21.72,21.26,21.66,21.54,,,,,,,,,,,,,,
100, 9 ,23.54,22.41,22.92,22.74,22.69,,,,,,,,,,,,,,
1, 12 ,5.75,5.48,5.98,5.67,5.71,,,,,,,,,,,,,,
5, 12 ,7.33,7.34,7.42,6.96,7.24,,,,,,,,,,,,,,
10, 12 ,9.48,8.97,8.47,8.62,8.69,,,,,,,,,,,,,,
20, 12 ,11.42,11.49,12.02,11.45,11.65,,,,,,,,,,,,,,
40, 12 ,17.70,17.81,17.50,17.72,17.68,,,,,,,,,,,,,,
