shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.21,0.17,0.15,0.15,0.16,,,,1, 1 ,0.12,0.09,0.09,0.08,0.09,,,1.78,0.07
5, 1 ,0.87,0.60,0.61,0.63,0.61,,,,5, 1 ,0.37,0.24,0.25,0.25,0.25,,,2.44,0.36
10, 1 ,1.82,1.13,1.13,1.24,1.17,,,,10, 1 ,0.71,0.45,0.45,0.45,0.45,,,2.60,0.72
20, 1 ,4.45,2.22,2.22,2.35,2.27,,,,20, 1 ,1.36,0.87,0.88,0.87,0.87,,,2.61,1.40
40, 1 ,8.93,4.92,5.26,5.26,5.14,,,,40, 1 ,2.61,2.59,2.58,2.62,2.60,,,1.98,2.54
60, 1 ,14.39,8.35,8.45,7.85,8.22,,,,60, 1 ,3.89,3.90,3.91,3.87,3.90,,,2.11,4.32
80, 1 ,19.63,10.53,10.45,11.13,10.70,,,,80, 1 ,5.18,5.19,5.16,5.18,5.18,,,2.07,5.52
100, 1 ,40.46,14.04,12.91,13.54,13.50,,,,100, 1 ,5.92,5.92,5.89,5.91,5.91,,,2.28,7.59
1, 3 ,0.24,0.17,0.17,0.16,0.17,,,,1, 3 ,0.21,0.18,0.19,0.19,0.19,,,0.89,-0.02
5, 3 ,0.91,0.63,0.65,0.63,0.64,,,,5, 3 ,0.50,0.40,0.39,0.39,0.39,,,1.64,0.25
10, 3 ,1.79,1.22,1.20,1.21,1.21,,,,10, 3 ,0.86,0.64,0.65,0.66,0.65,,,1.86,0.56
20, 3 ,2.99,2.35,2.55,2.37,2.42,,,,20, 3 ,1.65,1.19,1.18,1.19,1.19,,,2.03,1.23
40, 3 ,5.94,5.53,5.48,6.03,5.68,,,,40, 3 ,3.13,3.10,3.10,3.10,3.10,,,1.83,2.58
60, 3 ,8.20,8.22,8.24,8.18,8.21,,,,60, 3 ,4.56,4.56,4.60,4.58,4.58,,,1.79,3.63
80, 3 ,10.96,10.95,11.90,10.93,11.26,,,,80, 3 ,6.00,6.02,6.05,6.09,6.05,,,1.86,5.21
100, 3 ,13.71,13.50,14.46,13.66,13.88,,,,100, 3 ,7.13,7.12,7.16,7.09,7.12,,,1.95,6.76
1, 6 ,0.23,0.20,0.21,0.18,0.20,,,,1, 6 ,0.37,0.35,0.37,0.35,0.35,,,0.57,-0.15
5, 6 ,0.77,0.70,0.74,0.73,0.72,,,,5, 6 ,0.69,0.63,0.62,0.61,0.62,,,1.16,0.10
10, 6 ,1.51,1.29,1.29,1.30,1.29,,,,10, 6 ,1.06,0.93,0.93,0.87,0.91,,,1.42,0.38
20, 6 ,3.20,2.80,2.55,2.59,2.65,,,,20, 6 ,1.91,1.76,1.68,1.74,1.73,,,1.53,0.92
40, 6 ,6.27,5.69,5.72,6.32,5.91,,,,40, 6 ,3.58,3.69,3.52,3.53,3.58,,,1.65,2.33
60, 6 ,9.39,8.84,8.71,8.75,8.77,,,,60, 6 ,5.15,5.15,5.14,5.17,5.15,,,1.70,3.62
80, 6 ,12.51,12.50,11.67,12.67,12.28,,,,80, 6 ,6.77,6.76,6.80,6.76,6.77,,,1.81,5.51
100, 6 ,15.27,15.18,14.08,14.07,14.44,,,,100, 6 ,7.93,7.95,7.95,7.97,7.96,,,1.81,6.48
1, 9 ,0.21,0.19,0.20,0.22,0.20,,,,1, 9 ,0.56,0.52,0.52,0.53,0.52,,,0.38,-0.32
5, 9 ,0.87,0.78,0.78,0.79,0.78,,,,5, 9 ,0.87,0.89,0.84,0.87,0.87,,,0.90,-0.09
10, 9 ,1.61,1.63,1.36,1.49,1.49,,,,10, 9 ,1.41,1.31,1.27,1.42,1.33,,,1.12,0.16
20, 9 ,3.05,2.70,2.69,2.98,2.79,,,,20, 9 ,2.32,2.22,2.43,2.30,2.32,,,1.20,0.47
40, 9 ,6.07,5.88,5.88,5.90,5.89,,,,40, 9 ,4.30,4.26,4.29,4.28,4.27,,,1.38,1.62
