shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.17,0.10,0.09,0.09,0.09,,,,1, 1 ,0.80,0.79,0.81,0.80,0.80,,,0.11,-0.71
5, 1 ,0.38,0.32,0.36,0.35,0.34,,,,5, 1 ,1.01,1.04,1.07,1.03,1.05,,,0.32,-0.71
10, 1 ,0.62,0.64,0.60,0.60,0.61,,,,10, 1 ,1.33,1.24,1.35,1.46,1.35,,,0.45,-0.74
20, 1 ,1.37,1.12,1.12,1.21,1.15,,,,20, 1 ,1.83,1.88,1.87,1.82,1.86,,,0.62,-0.71
40, 1 ,2.36,2.31,2.41,2.31,2.34,,,,40, 1 ,2.89,2.77,2.72,2.73,2.74,,,0.85,-0.40
60, 1 ,3.62,3.35,3.32,3.29,3.32,,,,60, 1 ,3.84,3.61,3.53,3.50,3.55,,,0.94,-0.23
80, 1 ,4.65,4.56,4.52,4.42,4.50,,,,80, 1 ,5.09,4.44,4.48,4.43,4.45,,,1.01,0.05
100, 1 ,7.52,5.49,5.76,5.72,5.65,,,,100, 1 ,5.45,4.81,4.89,4.94,4.88,,,1.16,0.77
1, 3 ,0.19,0.18,0.16,0.19,0.18,,,,1, 3 ,2.42,2.29,2.32,2.44,2.35,,,0.08,-2.17
5, 3 ,0.54,0.62,0.51,0.55,0.56,,,,5, 3 ,2.87,2.83,2.79,2.99,2.87,,,0.20,-2.31
10, 3 ,0.96,1.00,0.97,1.05,1.01,,,,10, 3 ,3.54,3.42,3.37,3.32,3.37,,,0.30,-2.36
20, 3 ,2.11,1.95,1.94,2.00,1.96,,,,20, 3 ,5.00,4.27,4.47,4.50,4.41,,,0.44,-2.45
40, 3 ,3.83,3.89,3.78,3.90,3.86,,,,40, 3 ,6.89,6.53,6.63,6.54,6.56,,,0.59,-2.70
60, 3 ,5.75,5.85,5.80,5.63,5.76,,,,60, 3 ,8.91,9.19,8.58,8.82,8.86,,,0.65,-3.10
80, 3 ,7.42,7.49,7.23,7.46,7.39,,,,80, 3 ,11.39,10.88,10.69,11.08,10.89,,,0.68,-3.50
100, 3 ,9.30,9.03,8.96,9.23,9.07,,,,100, 3 ,11.84,11.27,11.18,11.28,11.24,,,0.81,-2.17
1, 6 ,0.29,0.29,0.28,0.29,0.29,,,,1, 6 ,4.66,4.39,4.90,4.70,4.66,,,0.06,-4.37
