shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.46,0.25,0.25,0.25,0.25,,,,1, 1 ,0.22,0.12,0.12,0.11,0.12,,,2.08,0.13
5, 1 ,1.23,0.97,0.96,1.02,0.99,,,,5, 1 ,1.44,0.41,0.39,0.40,0.40,,,2.47,0.59
10, 1 ,2.27,1.98,1.97,1.95,1.97,,,,10, 1 ,3.91,0.76,0.78,0.77,0.77,,,2.56,1.20
20, 1 ,9.83,3.87,3.64,3.70,3.74,,,,20, 1 ,8.14,1.49,1.50,1.54,1.51,,,2.48,2.23
40, 1 ,21.96,8.58,8.60,8.55,8.58,,,,40, 1 ,4.33,4.23,4.30,4.26,4.26,,,2.01,4.32
60, 1 ,12.83,12.86,12.81,12.83,12.83,,,,60, 1 ,6.32,6.31,6.33,6.34,6.33,,,2.03,6.50
80, 1 ,40.34,17.50,17.06,17.07,17.21,,,,80, 1 ,8.41,8.41,8.42,8.40,8.41,,,2.05,8.80
100, 1 ,70.01,28.81,21.03,22.34,24.06,,,,100, 1 ,74.58,14.79,9.57,9.45,11.27,,,2.13,12.79
1, 3 ,0.39,0.27,0.24,0.28,0.26,,,,1, 3 ,0.28,0.24,0.21,0.24,0.23,,,1.13,0.03
5, 3 ,2.10,1.02,1.09,1.03,1.04,,,,5, 3 ,1.52,0.52,0.52,0.55,0.53,,,1.96,0.51
10, 3 ,5.04,1.94,2.13,2.13,2.07,,,,10, 3 ,3.95,0.95,0.95,0.96,0.95,,,2.18,1.12
20, 3 ,10.81,3.84,4.16,4.16,4.05,,,,20, 3 ,8.17,1.79,1.83,1.83,1.82,,,2.23,2.23
40, 3 ,21.98,9.63,8.96,9.62,9.40,,,,40, 3 ,4.82,4.72,4.72,4.69,4.71,,,2.00,4.69
60, 3 ,33.33,13.57,13.33,13.42,13.44,,,,60, 3 ,32.37,7.28,7.25,7.03,7.19,,,1.87,6.25
80, 3 ,46.15,18.06,19.05,17.78,18.30,,,,80, 3 ,49.39,9.68,9.39,9.36,9.48,,,1.93,8.82
100, 3 ,69.52,22.82,23.24,21.76,22.61,,,,100, 3 ,68.11,10.98,10.64,10.67,10.76,,,2.10,11.85
1, 6 ,0.42,0.27,0.26,0.27,0.27,,,,1, 6 ,0.41,0.40,0.41,0.41,0.41,,,0.66,-0.14
5, 6 ,2.07,1.17,1.08,1.12,1.12,,,,5, 6 ,1.98,0.74,0.72,0.75,0.74,,,1.51,0.38
10, 6 ,4.92,2.21,2.18,2.22,2.20,,,,10, 6 ,4.87,1.20,1.21,1.20,1.20,,,1.83,1.00
20, 6 ,10.97,4.01,4.11,4.34,4.15,,,,20, 6 ,10.62,2.11,2.13,2.15,2.13,,,1.95,2.02
40, 6 ,22.10,9.25,9.25,10.02,9.50,,,,40, 6 ,22.08,5.21,5.31,5.18,5.23,,,1.82,4.27
60, 6 ,33.40,14.06,14.20,13.97,14.07,,,,60, 6 ,33.17,7.80,7.75,7.64,7.73,,,1.82,6.34
