shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.06,0.06,0.06,0.06,0.06,,,,1, 1 ,0.19,0.20,0.20,0.19,0.19,,,0.32,-0.13
5, 1 ,0.21,0.24,0.24,0.23,0.24,,,,5, 1 ,0.29,0.29,0.27,0.29,0.28,,,0.86,-0.04
10, 1 ,0.44,0.41,0.43,0.42,0.42,,,,10, 1 ,0.43,0.41,0.40,0.39,0.40,,,1.05,0.02
20, 1 ,1.09,0.80,0.70,0.69,0.73,,,,20, 1 ,0.64,0.62,0.62,0.66,0.63,,,1.16,0.10
40, 1 ,1.49,1.47,1.60,1.51,1.53,,,,40, 1 ,1.26,1.15,1.15,1.16,1.16,,,1.32,0.37
60, 1 ,2.22,1.98,2.25,2.13,2.12,,,,60, 1 ,1.77,1.56,1.57,1.58,1.57,,,1.35,0.55
80, 1 ,2.82,2.66,2.77,2.65,2.69,,,,80, 1 ,2.18,2.08,2.04,2.09,2.07,,,1.30,0.62
100, 1 ,4.09,3.73,3.69,3.54,3.65,,,,100, 1 ,2.71,2.24,2.39,2.32,2.32,,,1.57,1.33
1, 3 ,0.08,0.08,0.07,0.07,0.08,,,,1, 3 ,0.55,0.56,0.53,0.54,0.54,,,0.15,-0.46
5, 3 ,0.30,0.33,0.28,0.27,0.29,,,,5, 3 ,0.73,0.70,0.75,0.71,0.72,,,0.40,-0.43
10, 3 ,0.49,0.53,0.56,0.59,0.56,,,,10, 3 ,1.02,0.91,1.03,0.97,0.97,,,0.58,-0.41
20, 3 ,0.95,0.98,0.96,0.89,0.94,,,,20, 3 ,1.48,1.47,1.44,1.58,1.50,,,0.63,-0.56
40, 3 ,1.87,2.08,1.93,1.80,1.94,,,,40, 3 ,2.43,2.35,2.45,2.34,2.38,,,0.82,-0.44
60, 3 ,2.71,2.81,2.99,2.75,2.85,,,,60, 3 ,3.41,3.08,3.41,3.37,3.29,,,0.87,-0.44
80, 3 ,3.74,3.98,3.88,3.38,3.75,,,,80, 3 ,4.27,3.96,3.94,4.05,3.98,,,0.94,-0.23
100, 3 ,5.11,4.62,4.21,4.36,4.40,,,,100, 3 ,4.89,4.49,4.55,4.47,4.50,,,0.98,-0.10
1, 6 ,0.11,0.12,0.13,0.10,0.12,,,,1, 6 ,1.06,1.08,1.05,1.03,1.05,,,0.11,-0.93
