shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.06,0.06,0.05,0.05,0.06,,,,1, 1 ,0.11,0.11,0.12,0.11,0.11,,,0.55,-0.05
5, 1 ,0.25,0.20,0.21,0.21,0.21,,,,5, 1 ,0.20,0.19,0.20,0.19,0.20,,,1.05,0.01
10, 1 ,0.49,0.36,0.37,0.38,0.37,,,,10, 1 ,0.28,0.28,0.29,0.30,0.29,,,1.28,0.08
20, 1 ,0.72,0.67,0.75,0.78,0.73,,,,20, 1 ,0.47,0.56,0.49,0.49,0.51,,,1.43,0.22
40, 1 ,1.43,1.38,1.51,1.42,1.43,,,,40, 1 ,0.85,0.86,0.91,0.92,0.89,,,1.61,0.54
60, 1 ,2.12,2.15,2.24,1.94,2.11,,,,60, 1 ,1.33,1.24,1.26,1.21,1.24,,,1.70,0.87
80, 1 ,2.92,2.86,2.60,2.56,2.67,,,,80, 1 ,1.60,1.64,1.64,1.66,1.64,,,1.63,1.03
100, 1 ,3.54,3.15,3.25,3.40,3.27,,,,100, 1 ,2.25,2.09,2.22,1.99,2.10,,,1.56,1.17
1, 3 ,0.07,0.07,0.06,0.06,0.06,,,,1, 3 ,0.28,0.31,0.29,0.30,0.30,,,0.20,-0.24
5, 3 ,0.22,0.27,0.28,0.28,0.28,,,,5, 3 ,0.44,0.42,0.43,0.44,0.43,,,0.65,-0.15
10, 3 ,0.48,0.49,0.53,0.48,0.50,,,,10, 3 ,0.63,0.59,0.61,0.60,0.60,,,0.83,-0.10
20, 3 ,0.90,0.95,1.01,0.83,0.93,,,,20, 3 ,1.05,0.96,0.95,0.92,0.95,,,0.98,-0.02
40, 3 ,1.54,1.49,1.53,1.60,1.54,,,,40, 3 ,1.84,1.70,1.66,1.64,1.66,,,0.93,-0.12
60, 3 ,2.30,2.42,2.26,2.66,2.45,,,,60, 3 ,2.54,2.20,2.36,2.55,2.37,,,1.03,0.08
80, 3 ,3.47,3.30,3.31,3.33,3.31,,,,80, 3 ,3.22,2.80,2.98,2.95,2.91,,,1.14,0.40
100, 3 ,4.12,3.90,4.01,3.71,3.87,,,,100, 3 ,4.01,3.22,3.54,3.20,3.32,,,1.17,0.55
1, 6 ,0.08,0.08,0.08,0.08,0.08,,,,1, 6 ,0.58,0.58,0.56,0.56,0.57,,,0.14,-0.49
5, 6 ,0.29,0.31,0.33,0.31,0.32,,,,5, 6 ,0.85,0.77,0.76,0.80,0.78,,,0.41,-0.46
10, 6 ,0.56,0.57,0.55,0.57,0.57,,,,10, 6 ,1.03,0.96,1.07,0.96,1.00,,,0.57,-0.43
20, 6 ,1.22,1.05,1.04,1.16,1.08,,,,20, 6 ,1.52,1.58,1.50,1.47,1.52,,,0.71,-0.44
40, 6 ,2.05,1.99,2.04,2.09,2.04,,,,40, 6 ,2.42,2.31,2.55,2.54,2.47,,,0.83,-0.43
60, 6 ,2.72,3.03,3.00,3.16,3.06,,,,60, 6 ,3.76,3.62,3.28,3.39,3.43,,,0.89,-0.37
80, 6 ,3.84,3.96,4.08,3.67,3.90,,,,80, 6 ,4.33,4.22,4.29,4.13,4.21,,,0.93,-0.31
100, 6 ,4.44,4.93,4.48,4.73,4.71,,,,100, 6 ,5.12,5.14,4.65,4.57,4.79,,,0.98,-0.08
1, 9 ,0.10,0.09,0.09,0.08,0.09,,,,1, 9 ,0.86,0.86,0.85,0.81,0.84,,,0.11,-0.75
5, 9 ,0.35,0.31,0.34,0.34,0.33,,,,5, 9 ,1.12,1.09,1.16,1.15,1.13,,,0.29,-0.80
10, 9 ,0.65,0.60,0.63,0.70,0.64,,,,10, 9 ,1.50,1.52,1.42,1.47,1.47,,,0.44,-0.83
20, 9 ,1.32,1.18,1.23,1.30,1.24,,,,20, 9 ,2.19,2.28,2.37,2.23,2.29,,,0.54,-1.05
40, 9 ,2.38,2.40,2.42,2.42,2.42,,,,40, 9 ,3.51,3.43,3.80,3.43,3.56,,,0.68,-1.14
60, 9 ,3.92,3.74,3.62,3.68,3.68,,,,60, 9 ,4.79,4.66,4.45,4.70,4.60,,,0.80,-0.92
80, 9 ,5.16,4.94,4.75,4.83,4.84,,,,80, 9 ,6.26,5.96,5.82,5.68,5.82,,,0.83,-0.98
100, 9 ,5.96,5.86,5.90,5.66,5.81,,,,100, 9 ,7.03,7.45,7.58,6.33,7.12,,,0.82,-1.31
1, 12 ,0.13,0.11,0.11,0.11,0.11,,,,1, 12 ,1.14,1.13,1.12,1.09,1.11,,,0.10,-1.00
5, 12 ,0.35,0.41,0.36,0.36,0.38,,,,5, 12 ,1.45,1.53,1.38,1.49,1.47,,,0.26,-1.09
10, 12 ,0.66,0.69,0.69,0.74,0.71,,,,10, 12 ,1.94,1.91,1.83,1.89,1.88,,,0.38,-1.17
20, 12 ,1.52,1.32,1.34,1.32,1.33,,,,20, 12 ,2.79,2.82,2.71,2.76,2.76,,,0.48,-1.43
40, 12 ,2.84,2.65,2.57,2.58,2.60,,,,40, 12 ,4.51,4.46,4.60,4.44,4.50,,,0.58,-1.90
60, 12 ,3.97,3.88,3.71,4.09,3.89,,,,60, 12 ,6.04,5.99,6.29,6.08,6.12,,,0.64,-2.23
80, 12 ,5.31,5.14,5.40,5.05,5.20,,,,80, 12 ,7.91,7.42,7.45,7.40,7.43,,,0.70,-2.23
100, 12 ,0.01,0.01,0.01,0.01,0.01,,,,100, 12 ,0.01,0.01,0.01,0.01,0.01,,,1.00,0.00
broadcast, , , , , , avg,,,,,,,,,,,,,,
1, 1 ,0.11,0.11,0.12,0.11,0.11,,,,,,,,,,,,,,
5, 1 ,0.20,0.19,0.20,0.19,0.20,,,,,,,,,,,,,,
10, 1 ,0.28,0.28,0.29,0.30,0.29,,,,,,,,,,,,,,
20, 1 ,0.47,0.56,0.49,0.49,0.51,,,,,,,,,,,,,,
40, 1 ,0.85,0.86,0.91,0.92,0.89,,,,,,,,,,,,,,
60, 1 ,1.33,1.24,1.26,1.21,1.24,,,,,,,,,,,,,,
80, 1 ,1.60,1.64,1.64,1.66,1.64,,,,,,,,,,,,,,
100, 1 ,2.25,2.09,2.22,1.99,2.10,,,,,,,,,,,,,,
1, 3 ,0.28,0.31,0.29,0.30,0.30,,,,,,,,,,,,,,
5, 3 ,0.44,0.42,0.43,0.44,0.43,,,,,,,,,,,,,,
10, 3 ,0.63,0.59,0.61,0.60,0.60,,,,,,,,,,,,,,
20, 3 ,1.05,0.96,0.95,0.92,0.95,,,,,,,,,,,,,,
40, 3 ,1.84,1.70,1.66,1.64,1.66,,,,,,,,,,,,,,
60, 3 ,2.54,2.20,2.36,2.55,2.37,,,,,,,,,,,,,,
80, 3 ,3.22,2.80,2.98,2.95,2.91,,,,,,,,,,,,,,
100, 3 ,4.01,3.22,3.54,3.20,3.32,,,,,,,,,,,,,,
1, 6 ,0.58,0.58,0.56,0.56,0.57,,,,,,,,,,,,,,
5, 6 ,0.85,0.77,0.76,0.80,0.78,,,,,,,,,,,,,,
10, 6 ,1.03,0.96,1.07,0.96,1.00,,,,,,,,,,,,,,
20, 6 ,1.52,1.58,1.50,1.47,1.52,,,,,,,,,,,,,,
40, 6 ,2.42,2.31,2.55,2.54,2.47,,,,,,,,,,,,,,
60, 6 ,3.76,3.62,3.28,3.39,3.43,,,,,,,,,,,,,,
80, 6 ,4.33,4.22,4.29,4.13,4.21,,,,,,,,,,,,,,
100, 6 ,5.12,5.14,4.65,4.57,4.79,,,,,,,,,,,,,,
1, 9 ,0.86,0.86,0.85,0.81,0.84,,,,,,,,,,,,,,
5, 9 ,1.12,1.09,1.16,1.15,1.13,,,,,,,,,,,,,,
10, 9 ,1.50,1.52,1.42,1.47,1.47,,,,,,,,,,,,,,
20, 9 ,2.19,2.28,2.37,2.23,2.29,,,,,,,,,,,,,,
40, 9 ,3.51,3.43,3.80,3.43,3.56,,,,,,,,,,,,,,
60, 9 ,4.79,4.66,4.45,4.70,4.60,,,,,,,,,,,,,,
80, 9 ,6.26,5.96,5.82,5.68,5.82,,,,,,,,,,,,,,
100, 9 ,7.03,7.45,7.58,6.33,7.12,,,,,,,,,,,,,,
1, 12 ,1.14,1.13,1.12,1.09,1.11,,,,,,,,,,,,,,
5, 12 ,1.45,1.53,1.38,1.49,1.47,,,,,,,,,,,,,,
10, 12 ,1.94,1.91,1.83,1.89,1.88,,,,,,,,,,,,,,
20, 12 ,2.79,2.82,2.71,2.76,2.76,,,,,,,,,,,,,,
40, 12 ,4.51,4.46,4.60,4.44,4.50,,,,,,,,,,,,,,
60, 12 ,6.04,5.99,6.29,6.08,6.12,,,,,,,,,,,,,,
80, 12 ,7.91,7.42,7.45,7.40,7.43,,,,,,,,,,,,,,
100, 12 ,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,
