shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.21,0.20,0.17,0.18,0.18,,,,1, 1 ,0.32,0.29,0.29,0.30,0.30,,,0.60,-0.12
5, 1 ,0.80,0.85,0.76,0.68,0.77,,,,5, 1 ,0.69,0.73,0.65,0.67,0.68,,,1.13,0.09
10, 1 ,1.39,1.35,1.37,1.38,1.37,,,,10, 1 ,1.26,1.13,1.12,1.13,1.13,,,1.21,0.24
20, 1 ,2.64,2.94,2.84,2.86,2.88,,,,20, 1 ,2.20,2.14,2.03,2.12,2.10,,,1.37,0.78
40, 1 ,5.37,5.53,5.54,4.94,5.34,,,,40, 1 ,4.03,3.93,4.02,4.02,3.99,,,1.34,1.35
60, 1 ,8.88,8.26,8.48,9.02,8.59,,,,60, 1 ,6.24,5.79,5.98,5.64,5.80,,,1.48,2.79
80, 1 ,10.89,10.73,10.14,10.90,10.59,,,,80, 1 ,7.96,7.89,7.56,7.48,7.64,,,1.39,2.95
100, 1 ,11.17,13.10,12.09,12.66,12.62,,,,100, 1 ,9.94,9.37,9.67,9.34,9.46,,,1.33,3.16
1, 3 ,0.38,0.34,0.33,0.35,0.34,,,,1, 3 ,0.89,0.87,0.81,0.83,0.84,,,0.40,-0.50
5, 3 ,1.32,1.27,1.20,1.16,1.21,,,,5, 3 ,1.87,1.98,1.95,1.90,1.94,,,0.62,-0.73
10, 3 ,2.36,2.40,2.15,2.25,2.27,,,,10, 3 ,3.19,3.22,3.29,3.27,3.26,,,0.70,-0.99
20, 3 ,4.60,4.41,4.68,4.76,4.62,,,,20, 3 ,5.62,5.39,5.56,4.74,5.23,,,0.88,-0.61
40, 3 ,9.15,8.76,8.87,8.46,8.70,,,,40, 3 ,9.42,9.74,10.21,9.48,9.81,,,0.89,-1.11
60, 3 ,13.58,12.80,13.34,13.67,13.27,,,,60, 3 ,15.94,15.35,15.68,14.22,15.08,,,0.88,-1.81
80, 3 ,18.70,17.42,18.80,17.96,18.06,,,,80, 3 ,18.60,18.97,19.37,19.19,19.17,,,0.94,-1.11
