shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.78,0.65,0.58,0.53,0.59,,,,1, 1 ,0.42,0.21,0.21,0.21,0.21,,,2.81,0.38
5, 1 ,3.16,3.08,4.23,4.04,3.78,,,,5, 1 ,3.64,0.72,0.72,0.69,0.71,,,5.32,3.07
10, 1 ,7.79,7.53,7.39,8.34,7.75,,,,10, 1 ,7.63,1.37,1.35,1.35,1.36,,,5.70,6.39
20, 1 ,15.74,15.59,14.60,14.69,14.96,,,,20, 1 ,14.46,3.96,3.89,3.87,3.91,,,3.83,11.05
40, 1 ,32.70,29.90,31.66,28.36,29.97,,,,40, 1 ,30.55,7.99,7.81,7.82,7.87,,,3.81,22.10
60, 1 ,43.74,34.94,43.59,40.57,39.70,,,,60, 1 ,46.78,17.06,11.68,11.72,13.49,,,2.94,26.21
80, 1 ,74.12,57.58,61.75,56.89,58.74,,,,80, 1 ,71.61,37.34,15.66,15.57,22.86,,,2.57,35.88
100, 1 ,82.26,74.46,54.55,68.29,65.77,,,,100, 1 ,64.94,28.35,18.21,18.19,21.58,,,3.05,44.19
1, 3 ,0.93,0.93,0.81,0.84,0.86,,,,1, 3 ,0.45,0.30,0.31,0.31,0.31,,,2.77,0.55
5, 3 ,4.37,3.59,4.33,4.03,3.98,,,,5, 3 ,3.69,0.91,0.90,0.90,0.90,,,4.42,3.08
10, 3 ,8.95,7.06,7.76,7.96,7.59,,,,10, 3 ,7.37,1.66,1.67,1.64,1.66,,,4.57,5.93
20, 3 ,18.38,14.51,13.90,13.09,13.83,,,,20, 3 ,15.10,4.52,4.36,4.34,4.41,,,3.14,9.42
40, 3 ,31.49,30.94,31.01,28.30,30.09,,,,40, 3 ,30.62,13.64,8.79,8.75,10.39,,,2.90,19.70
60, 3 ,44.56,35.18,46.65,43.75,41.86,,,,60, 3 ,42.16,34.02,13.14,13.05,20.07,,,2.09,21.79
80, 3 ,71.62,60.86,58.50,62.12,60.49,,,,80, 3 ,74.59,46.26,17.50,17.40,27.05,,,2.24,33.44
100, 3 ,65.69,71.30,68.07,68.73,69.37,,,,100, 3 ,64.56,53.94,20.32,20.18,31.48,,,2.20,37.89
1, 6 ,0.89,0.76,0.80,0.78,0.78,,,,1, 6 ,0.61,0.47,0.48,0.48,0.48,,,1.63,0.30
5, 6 ,4.89,3.76,3.71,3.99,3.82,,,,5, 6 ,3.35,1.16,1.10,1.12,1.13,,,3.38,2.69
10, 6 ,8.40,7.37,7.47,7.01,7.29,,,,10, 6 ,7.60,1.93,1.91,1.96,1.93,,,3.78,5.36
20, 6 ,16.54,12.08,15.24,16.10,14.47,,,,20, 6 ,14.60,5.09,4.98,4.80,4.96,,,2.92,9.51
40, 6 ,34.18,27.85,31.34,27.22,28.81,,,,40, 6 ,30.10,9.61,9.51,9.45,9.53,,,3.02,19.28
60, 6 ,44.64,35.57,43.57,40.96,40.03,,,,60, 6 ,45.12,21.72,14.01,13.99,16.58,,,2.41,23.45
80, 6 ,72.32,83.65,47.50,63.21,64.79,,,,80, 6 ,75.03,66.03,18.70,18.61,34.45,,,1.88,30.34
100, 6 ,71.87,61.71,69.28,70.33,67.10,,,,100, 6 ,65.36,62.46,21.93,21.80,35.39,,,1.90,31.71
1, 9 ,0.93,0.86,0.79,1.05,0.90,,,,1, 9 ,0.84,0.73,0.68,0.74,0.71,,,1.27,0.19
5, 9 ,4.22,3.85,3.76,4.29,3.97,,,,5, 9 ,3.62,1.53,1.48,1.46,1.49,,,2.66,2.48
10, 9 ,8.93,7.21,7.63,7.42,7.42,,,,10, 9 ,7.07,2.42,2.41,2.36,2.40,,,3.09,5.02
20, 9 ,16.96,14.43,14.84,14.24,14.50,,,,20, 9 ,14.24,5.56,5.57,5.40,5.51,,,2.63,8.99
40, 9 ,30.99,26.36,31.28,27.60,28.41,,,,40, 9 ,29.72,10.95,10.64,10.68,10.76,,,2.64,17.65
60, 9 ,44.94,36.26,46.70,35.50,39.49,,,,60, 9 ,44.56,15.94,15.73,15.77,15.81,,,2.50,23.68
80, 9 ,71.62,61.38,56.28,56.16,57.94,,,,80, 9 ,74.65,57.56,20.90,20.90,33.12,,,1.75,24.82
100, 9 ,71.80,62.48,67.58,66.74,65.60,,,,100, 9 ,65.55,55.50,24.20,24.15,34.62,,,1.89,30.98
1, 12 ,0.90,0.68,0.86,1.04,0.86,,,,1, 12 ,1.03,0.88,0.90,0.89,0.89,,,0.97,-0.03
5, 12 ,4.19,3.85,3.57,3.53,3.65,,,,5, 12 ,4.35,1.88,1.86,1.80,1.85,,,1.97,1.80
10, 12 ,7.91,7.14,7.20,7.56,7.30,,,,10, 12 ,8.23,2.92,2.88,2.90,2.90,,,2.52,4.40
20, 12 ,15.98,11.76,14.40,14.45,13.54,,,,20, 12 ,14.53,6.03,6.01,5.99,6.01,,,2.25,7.53
40, 12 ,32.55,32.32,31.83,28.69,30.95,,,,40, 12 ,31.01,26.66,11.69,11.66,16.67,,,1.86,14.28
60, 12 ,44.56,42.93,46.32,37.59,42.28,,,,60, 12 ,44.39,17.18,17.02,17.11,17.10,,,2.47,25.18
80, 12 ,71.66,51.56,56.05,61.88,56.49,,,,80, 12 ,74.40,57.89,22.66,22.68,34.41,,,1.64,22.08
100, 12 ,73.05,61.40,69.09,69.78,66.76,,,,100, 12 ,65.39,73.75,26.62,26.58,42.32,,,1.58,24.44
broadcast, , , , , , avg,,,,,,,,,,,,,,
