shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.99,0.71,0.80,0.68,0.73,,,,1, 1 ,0.55,0.25,0.26,0.24,0.25,,,2.92,0.48
5, 1 ,5.94,3.56,4.86,5.05,4.49,,,,5, 1 ,5.83,0.91,0.91,0.90,0.91,,,4.93,3.58
10, 1 ,12.77,9.21,9.95,10.00,9.72,,,,10, 1 ,10.17,1.73,1.72,1.73,1.73,,,5.62,7.99
20, 1 ,23.13,18.63,19.06,18.52,18.74,,,,20, 1 ,20.60,4.97,4.89,4.93,4.93,,,3.80,13.81
40, 1 ,43.92,37.00,36.96,39.05,37.67,,,,40, 1 ,41.24,13.72,9.80,9.70,11.07,,,3.40,26.60
60, 1 ,59.40,60.79,53.73,54.70,56.41,,,,60, 1 ,62.51,58.71,14.85,14.58,29.38,,,1.92,27.03
80, 1 ,98.46,63.91,79.87,60.61,68.13,,,,80, 1 ,103.65,85.86,19.52,19.43,41.60,,,1.64,26.53
100, 1 ,103.55,90.49,77.35,74.15,80.66,,,,100, 1 ,89.34,65.92,22.95,22.62,37.16,,,2.17,43.50
1, 3 ,0.91,0.92,0.98,1.13,1.01,,,,1, 3 ,0.52,0.36,0.35,0.36,0.36,,,2.81,0.65
5, 3 ,6.58,4.65,4.97,5.06,4.89,,,,5, 3 ,6.00,1.10,1.11,1.11,1.10,,,4.45,3.79
10, 3 ,12.54,9.28,8.78,10.27,9.44,,,,10, 3 ,10.77,2.06,2.00,2.05,2.04,,,4.63,7.40
20, 3 ,22.06,19.50,19.58,18.49,19.19,,,,20, 3 ,22.47,14.88,5.45,5.41,8.58,,,2.24,10.61
40, 3 ,41.81,39.49,36.84,32.85,36.39,,,,40, 3 ,41.73,19.91,10.72,10.73,13.79,,,2.64,22.60
60, 3 ,58.96,53.09,54.94,45.37,51.13,,,,60, 3 ,62.10,16.13,15.97,15.98,16.02,,,3.19,35.11
80, 3 ,102.65,72.78,70.95,65.45,69.73,,,,80, 3 ,103.09,60.68,21.38,21.30,34.45,,,2.02,35.28
