shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.19,0.15,0.15,0.16,0.15,,,,1, 1 ,0.24,0.23,0.22,0.25,0.23,,,0.65,-0.08
5, 1 ,0.75,0.80,0.62,0.75,0.72,,,,5, 1 ,0.58,0.54,0.56,0.54,0.55,,,1.31,0.17
10, 1 ,1.36,1.39,1.28,1.34,1.34,,,,10, 1 ,1.00,0.97,1.00,0.93,0.97,,,1.38,0.37
20, 1 ,2.47,2.46,2.34,2.56,2.45,,,,20, 1 ,1.80,1.76,1.63,1.60,1.66,,,1.48,0.79
40, 1 ,5.14,5.32,4.82,4.58,4.91,,,,40, 1 ,3.37,3.35,3.53,3.20,3.36,,,1.46,1.55
60, 1 ,7.51,7.88,7.65,6.83,7.45,,,,60, 1 ,4.95,4.76,4.88,4.71,4.79,,,1.56,2.66
80, 1 ,9.66,9.06,9.01,9.43,9.17,,,,80, 1 ,6.71,5.95,6.29,6.44,6.23,,,1.47,2.94
100, 1 ,10.16,10.20,10.97,9.59,10.25,,,,100, 1 ,8.17,7.92,7.77,7.51,7.73,,,1.33,2.52
1, 3 ,0.29,0.27,0.26,0.27,0.27,,,,1, 3 ,0.74,0.72,0.69,0.69,0.70,,,0.39,-0.43
5, 3 ,1.02,0.98,0.98,1.04,1.00,,,,5, 3 ,1.54,1.59,1.59,1.48,1.55,,,0.65,-0.55
10, 3 ,1.99,1.93,1.91,1.96,1.93,,,,10, 3 ,2.54,2.32,2.62,2.89,2.61,,,0.74,-0.68
20, 3 ,4.03,3.80,3.72,3.81,3.78,,,,20, 3 ,4.88,4.83,4.01,4.26,4.37,,,0.86,-0.59
40, 3 ,8.23,7.06,7.14,7.31,7.17,,,,40, 3 ,8.38,7.70,8.59,7.89,8.06,,,0.89,-0.89
60, 3 ,11.50,10.99,11.05,10.95,10.99,,,,60, 3 ,12.31,11.40,12.67,12.01,12.03,,,0.91,-1.04
80, 3 ,14.97,14.39,14.78,14.45,14.54,,,,80, 3 ,16.32,15.72,16.52,16.60,16.28,,,0.89,-1.74
100, 3 ,17.33,16.22,16.34,16.37,16.31,,,,100, 3 ,19.52,18.89,22.14,19.68,20.24,,,0.81,-3.93
1, 6 ,0.47,0.41,0.45,0.44,0.43,,,,1, 6 ,1.39,1.34,1.33,1.35,1.34,,,0.32,-0.91
5, 6 ,1.44,1.48,1.49,1.40,1.46,,,,5, 6 ,3.01,3.09,3.03,3.00,3.04,,,0.48,-1.58
10, 6 ,2.79,2.93,2.89,2.60,2.81,,,,10, 6 ,4.60,5.34,4.39,4.68,4.80,,,0.59,-1.99
20, 6 ,5.32,5.37,5.36,5.40,5.38,,,,20, 6 ,9.72,9.15,7.92,9.48,8.85,,,0.61,-3.47
40, 6 ,10.61,10.81,10.59,10.89,10.76,,,,40, 6 ,16.95,15.30,15.49,17.74,16.18,,,0.67,-5.42
60, 6 ,15.79,15.11,15.93,14.92,15.32,,,,60, 6 ,23.20,22.12,22.53,21.55,22.07,,,0.69,-6.75
80, 6 ,21.43,20.74,21.18,19.91,20.61,,,,80, 6 ,31.89,30.02,31.09,30.75,30.62,,,0.67,-10.01
100, 6 ,24.77,23.46,23.94,24.30,23.90,,,,100, 6 ,39.10,34.59,38.97,34.60,36.05,,,0.66,-12.15
1, 9 ,0.69,0.61,0.63,0.54,0.59,,,,1, 9 ,2.19,2.10,2.17,2.10,2.12,,,0.28,-1.53
5, 9 ,2.12,1.99,2.04,2.01,2.01,,,,5, 9 ,4.74,4.58,4.47,4.80,4.62,,,0.44,-2.61
10, 9 ,3.95,3.98,3.86,3.82,3.89,,,,10, 9 ,6.84,7.24,7.43,7.57,7.42,,,0.52,-3.53
20, 9 ,7.32,7.36,7.03,7.67,7.35,,,,20, 9 ,12.09,14.91,12.73,12.37,13.34,,,0.55,-5.99
40, 9 ,15.32,14.48,14.02,14.35,14.28,,,,40, 9 ,23.02,25.83,24.68,22.30,24.27,,,0.59,-9.99
60, 9 ,22.01,20.92,20.75,21.56,21.08,,,,60, 9 ,34.96,35.66,34.37,32.86,34.30,,,0.61,-13.22
80, 9 ,27.91,29.00,28.19,28.54,28.58,,,,80, 9 ,49.22,45.03,45.35,43.73,44.70,,,0.64,-16.12
100, 9 ,33.61,34.70,33.40,33.16,33.75,,,,100, 9 ,58.40,53.34,53.51,54.55,53.80,,,0.63,-20.05
1, 12 ,0.92,0.84,0.85,0.79,0.83,,,,1, 12 ,2.79,2.77,2.61,2.82,2.73,,,0.30,-1.90
5, 12 ,2.74,2.38,2.72,2.47,2.52,,,,5, 12 ,6.27,5.86,6.19,5.64,5.90,,,0.43,-3.38
10, 12 ,4.76,4.94,4.68,4.76,4.79,,,,10, 12 ,10.36,9.51,10.37,9.97,9.95,,,0.48,-5.16
20, 12 ,10.17,9.26,9.32,9.51,9.36,,,,20, 12 ,19.57,17.79,17.42,18.42,17.87,,,0.52,-8.51
40, 12 ,18.61,18.07,19.53,19.21,18.94,,,,40, 12 ,32.17,35.89,31.84,31.59,33.11,,,0.57,-14.17
60, 12 ,27.89,26.80,27.08,29.36,27.75,,,,60, 12 ,47.00,48.48,49.77,49.03,49.09,,,0.57,-21.34
80, 12 ,36.88,35.97,35.62,37.29,36.29,,,,80, 12 ,59.71,60.89,61.30,62.27,61.49,,,0.59,-25.20
100, 12 ,44.43,44.01,43.57,43.39,43.66,,,,100, 12 ,74.18,72.94,75.13,73.21,73.76,,,0.59,-30.10
broadcast, , , , , , avg,,,,,,,,,,,,,,
1, 1 ,0.24,0.23,0.22,0.25,0.23,,,,,,,,,,,,,,
5, 1 ,0.58,0.54,0.56,0.54,0.55,,,,,,,,,,,,,,
10, 1 ,1.00,0.97,1.00,0.93,0.97,,,,,,,,,,,,,,
20, 1 ,1.80,1.76,1.63,1.60,1.66,,,,,,,,,,,,,,
40, 1 ,3.37,3.35,3.53,3.20,3.36,,,,,,,,,,,,,,
60, 1 ,4.95,4.76,4.88,4.71,4.79,,,,,,,,,,,,,,
80, 1 ,6.71,5.95,6.29,6.44,6.23,,,,,,,,,,,,,,
100, 1 ,8.17,7.92,7.77,7.51,7.73,,,,,,,,,,,,,,
1, 3 ,0.74,0.72,0.69,0.69,0.70,,,,,,,,,,,,,,
5, 3 ,1.54,1.59,1.59,1.48,1.55,,,,,,,,,,,,,,
10, 3 ,2.54,2.32,2.62,2.89,2.61,,,,,,,,,,,,,,
20, 3 ,4.88,4.83,4.01,4.26,4.37,,,,,,,,,,,,,,
40, 3 ,8.38,7.70,8.59,7.89,8.06,,,,,,,,,,,,,,
60, 3 ,12.31,11.40,12.67,12.01,12.03,,,,,,,,,,,,,,
80, 3 ,16.32,15.72,16.52,16.60,16.28,,,,,,,,,,,,,,
100, 3 ,19.52,18.89,22.14,19.68,20.24,,,,,,,,,,,,,,
1, 6 ,1.39,1.34,1.33,1.35,1.34,,,,,,,,,,,,,,
5, 6 ,3.01,3.09,3.03,3.00,3.04,,,,,,,,,,,,,,
10, 6 ,4.60,5.34,4.39,4.68,4.80,,,,,,,,,,,,,,
20, 6 ,9.72,9.15,7.92,9.48,8.85,,,,,,,,,,,,,,
40, 6 ,16.95,15.30,15.49,17.74,16.18,,,,,,,,,,,,,,
60, 6 ,23.20,22.12,22.53,21.55,22.07,,,,,,,,,,,,,,
80, 6 ,31.89,30.02,31.09,30.75,30.62,,,,,,,,,,,,,,
100, 6 ,39.10,34.59,38.97,34.60,36.05,,,,,,,,,,,,,,
1, 9 ,2.19,2.10,2.17,2.10,2.12,,,,,,,,,,,,,,
5, 9 ,4.74,4.58,4.47,4.80,4.62,,,,,,,,,,,,,,
10, 9 ,6.84,7.24,7.43,7.57,7.42,,,,,,,,,,,,,,
20, 9 ,12.09,14.91,12.73,12.37,13.34,,,,,,,,,,,,,,
40, 9 ,23.02,25.83,24.68,22.30,24.27,,,,,,,,,,,,,,
60, 9 ,34.96,35.66,34.37,32.86,34.30,,,,,,,,,,,,,,
80, 9 ,49.22,45.03,45.35,43.73,44.70,,,,,,,,,,,,,,
100, 9 ,58.40,53.34,53.51,54.55,53.80,,,,,,,,,,,,,,
1, 12 ,2.79,2.77,2.61,2.82,2.73,,,,,,,,,,,,,,
5, 12 ,6.27,5.86,6.19,5.64,5.90,,,,,,,,,,,,,,
10, 12 ,10.36,9.51,10.37,9.97,9.95,,,,,,,,,,,,,,
20, 12 ,19.57,17.79,17.42,18.42,17.87,,,,,,,,,,,,,,
40, 12 ,32.17,35.89,31.84,31.59,33.11,,,,,,,,,,,,,,
60, 12 ,47.00,48.48,49.77,49.03,49.09,,,,,,,,,,,,,,
80, 12 ,59.71,60.89,61.30,62.27,61.49,,,,,,,,,,,,,,
100, 12 ,74.18,72.94,75.13,73.21,73.76,,,,,,,,,,,,,,
