shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.26,0.24,0.24,0.26,0.25,,,,1, 1 ,0.43,0.40,0.42,0.38,0.40,,,0.62,-0.15
5, 1 ,0.85,0.89,0.83,0.88,0.87,,,,5, 1 ,0.94,0.90,0.94,0.95,0.93,,,0.94,-0.06
10, 1 ,1.84,1.65,1.63,1.67,1.65,,,,10, 1 ,1.52,1.53,1.62,1.66,1.60,,,1.03,0.05
20, 1 ,3.26,3.44,3.10,3.19,3.24,,,,20, 1 ,2.79,2.79,2.70,2.79,2.76,,,1.17,0.48
40, 1 ,5.76,6.28,6.47,7.24,6.66,,,,40, 1 ,5.15,4.96,5.14,4.89,5.00,,,1.33,1.66
60, 1 ,9.85,9.92,8.99,9.11,9.34,,,,60, 1 ,7.60,7.17,6.95,7.35,7.16,,,1.30,2.18
80, 1 ,12.64,11.99,12.10,11.90,12.00,,,,80, 1 ,10.53,9.25,9.94,9.62,9.60,,,1.25,2.40
100, 1 ,13.09,13.02,2.55,14.12,9.90,,,,100, 1 ,12.86,11.90,11.81,11.86,11.86,,,0.83,-1.96
1, 3 ,0.51,0.50,0.51,0.48,0.50,,,,1, 3 ,1.22,1.24,1.13,1.19,1.18,,,0.42,-0.68
5, 3 ,1.55,1.57,1.48,1.49,1.51,,,,5, 3 ,2.73,2.58,2.51,2.66,2.58,,,0.59,-1.07
10, 3 ,2.81,2.78,2.78,2.92,2.83,,,,10, 3 ,4.02,4.15,4.27,4.27,4.23,,,0.67,-1.40
20, 3 ,5.57,5.56,5.74,5.51,5.60,,,,20, 3 ,7.36,7.24,7.21,7.57,7.34,,,0.76,-1.74
40, 3 ,10.93,10.25,10.10,9.96,10.10,,,,40, 3 ,12.14,13.03,12.77,12.46,12.76,,,0.79,-2.66
60, 3 ,16.52,15.41,15.92,15.26,15.53,,,,60, 3 ,19.54,18.47,20.83,17.71,19.00,,,0.82,-3.47
80, 3 ,21.28,20.13,20.93,22.08,21.05,,,,80, 3 ,24.13,24.77,24.20,26.37,25.11,,,0.84,-4.06
100, 3 ,24.77,24.64,25.62,23.87,24.71,,,,100, 3 ,32.58,27.70,28.72,26.63,27.68,,,0.89,-2.97
1, 6 ,0.94,0.73,0.77,0.79,0.77,,,,1, 6 ,2.50,2.44,2.51,2.49,2.48,,,0.31,-1.71
5, 6 ,2.45,2.33,2.48,2.41,2.41,,,,5, 6 ,4.94,5.49,5.04,4.95,5.16,,,0.47,-2.75
10, 6 ,5.10,4.71,4.65,4.66,4.67,,,,10, 6 ,8.17,7.96,7.74,9.58,8.43,,,0.55,-3.76
20, 6 ,8.71,9.08,8.90,8.81,8.93,,,,20, 6 ,14.82,14.18,16.23,17.58,16.00,,,0.56,-7.07
40, 6 ,17.07,17.12,18.42,17.34,17.63,,,,40, 6 ,26.31,26.95,27.46,25.41,26.61,,,0.66,-8.98
60, 6 ,26.97,26.97,24.91,24.12,25.33,,,,60, 6 ,40.01,37.83,38.32,37.98,38.04,,,0.67,-12.71
80, 6 ,35.83,33.64,32.56,33.34,33.18,,,,80, 6 ,51.53,52.31,48.73,50.06,50.37,,,0.66,-17.19
100, 6 ,42.00,40.46,39.73,40.10,40.10,,,,100, 6 ,63.89,60.97,62.12,65.50,62.87,,,0.64,-22.77
1, 9 ,1.19,1.11,1.32,1.22,1.22,,,,1, 9 ,3.88,3.93,3.75,3.96,3.88,,,0.31,-2.66
5, 9 ,3.72,3.43,3.50,3.74,3.56,,,,5, 9 ,7.81,8.90,8.98,9.03,8.97,,,0.40,-5.41
10, 9 ,6.96,6.88,6.96,7.13,6.99,,,,10, 9 ,13.80,12.85,15.29,12.48,13.54,,,0.52,-6.55
20, 9 ,13.50,12.07,13.21,12.73,12.67,,,,20, 9 ,21.99,22.12,22.98,24.05,23.05,,,0.55,-10.38
40, 9 ,25.10,24.79,23.56,24.93,24.43,,,,40, 9 ,46.91,43.68,41.10,39.83,41.54,,,0.59,-17.11
60, 9 ,36.29,37.13,36.06,36.15,36.45,,,,60, 9 ,59.58,59.20,59.09,58.76,59.02,,,0.62,-22.57
80, 9 ,49.70,50.55,50.98,49.52,50.35,,,,80, 9 ,81.46,80.36,82.52,85.23,82.70,,,0.61,-32.35
100, 9 ,59.91,60.22,61.18,61.97,61.12,,,,100, 9 ,101.78,98.88,97.45,95.31,97.21,,,0.63,-36.09
1, 12 ,1.57,1.59,1.47,1.39,1.48,,,,1, 12 ,5.41,5.74,6.09,6.09,5.98,,,0.25,-4.50
5, 12 ,4.81,4.72,5.27,5.08,5.03,,,,5, 12 ,11.39,12.93,11.23,11.97,12.04,,,0.42,-7.01
