shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.55,0.47,0.46,0.44,0.46,,,,1, 1 ,0.29,0.16,0.16,0.18,0.17,,,2.71,0.29
5, 1 ,2.19,2.33,3.14,2.92,2.80,,,,5, 1 ,1.43,0.55,0.54,0.53,0.54,,,5.19,2.26
10, 1 ,6.34,6.68,6.48,6.56,6.57,,,,10, 1 ,4.51,1.00,1.00,1.00,1.00,,,6.57,5.57
20, 1 ,12.38,12.16,13.39,11.82,12.46,,,,20, 1 ,10.66,2.72,2.62,2.62,2.65,,,4.70,9.81
40, 1 ,22.63,20.53,23.14,23.19,22.29,,,,40, 1 ,20.99,6.01,5.93,5.98,5.97,,,3.73,16.32
60, 1 ,30.28,30.67,34.20,30.79,31.88,,,,60, 1 ,25.05,8.99,8.88,8.86,8.91,,,3.58,22.97
80, 1 ,51.02,35.57,44.65,37.59,39.27,,,,80, 1 ,53.47,45.48,11.90,11.73,23.04,,,1.70,16.23
100, 1 ,51.78,56.83,55.87,38.49,50.40,,,,100, 1 ,35.64,14.02,13.93,13.88,13.95,,,3.61,36.45
1, 3 ,0.53,0.45,0.43,0.46,0.45,,,,1, 3 ,0.40,0.26,0.27,0.27,0.26,,,1.73,0.19
5, 3 ,2.19,2.10,3.10,3.00,2.74,,,,5, 3 ,1.60,0.71,0.74,0.71,0.72,,,3.81,2.02
10, 3 ,6.20,6.19,6.15,6.17,6.17,,,,10, 3 ,4.84,1.29,1.30,1.29,1.29,,,4.78,4.88
20, 3 ,11.89,12.90,10.26,11.16,11.44,,,,20, 3 ,10.75,3.10,3.10,3.08,3.09,,,3.70,8.35
40, 3 ,22.68,24.91,24.94,22.87,24.24,,,,40, 3 ,20.78,6.90,6.82,6.86,6.86,,,3.53,17.38
60, 3 ,30.15,27.46,33.81,32.76,31.34,,,,60, 3 ,30.47,17.29,10.30,10.20,12.60,,,2.49,18.74
80, 3 ,51.01,41.55,49.00,50.61,47.05,,,,80, 3 ,50.94,13.68,13.53,13.53,13.58,,,3.46,33.47
100, 3 ,39.13,60.66,62.20,54.90,59.26,,,,100, 3 ,42.48,28.38,15.89,15.87,20.05,,,2.96,39.21
1, 6 ,0.57,0.48,0.44,0.45,0.46,,,,1, 6 ,0.53,0.42,0.41,0.42,0.42,,,1.10,0.04
5, 6 ,2.78,1.87,1.83,2.01,1.90,,,,5, 6 ,1.44,0.95,0.92,1.00,0.96,,,1.98,0.94
10, 6 ,4.94,4.17,5.35,5.93,5.15,,,,10, 6 ,4.52,1.59,1.57,1.64,1.60,,,3.22,3.55
20, 6 ,11.58,12.38,11.80,11.40,11.86,,,,20, 6 ,9.96,3.53,3.40,3.40,3.44,,,3.45,8.42
40, 6 ,23.54,25.41,23.87,25.30,24.86,,,,40, 6 ,20.78,7.49,7.38,7.38,7.42,,,3.35,17.44
60, 6 ,36.38,35.08,35.73,37.90,36.24,,,,60, 6 ,25.23,13.66,10.96,10.98,11.87,,,3.05,24.37
80, 6 ,51.39,35.47,48.60,46.01,43.36,,,,80, 6 ,50.94,27.68,14.56,14.46,18.90,,,2.29,24.46
100, 6 ,41.49,55.62,56.15,47.60,53.12,,,,100, 6 ,39.79,34.54,17.11,16.87,22.84,,,2.33,30.28
1, 9 ,0.79,0.63,0.67,0.68,0.66,,,,1, 9 ,0.78,0.67,0.70,0.65,0.67,,,0.99,-0.01
5, 9 ,2.97,3.64,3.11,2.90,3.22,,,,5, 9 ,2.05,1.40,1.32,1.34,1.35,,,2.39,1.87
10, 9 ,6.12,5.60,5.66,5.58,5.61,,,,10, 9 ,4.51,2.14,2.21,2.24,2.20,,,2.55,3.41
20, 9 ,11.01,8.29,8.39,9.80,8.82,,,,20, 9 ,9.95,4.26,4.10,4.10,4.16,,,2.12,4.66
40, 9 ,24.69,23.06,21.03,22.08,22.06,,,,40, 9 ,21.51,8.54,8.48,8.49,8.50,,,2.60,13.56
60, 9 ,32.95,33.02,35.56,37.09,35.22,,,,60, 9 ,25.30,15.09,12.51,12.46,13.35,,,2.64,21.87
