shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.15,0.14,0.15,0.14,0.14,,,,1, 1 ,0.15,0.16,0.17,0.15,0.16,,,0.88,-0.02
5, 1 ,0.62,0.63,0.52,0.53,0.56,,,,5, 1 ,0.43,0.39,0.40,0.37,0.38,,,1.47,0.18
10, 1 ,1.37,0.97,1.19,1.02,1.06,,,,10, 1 ,0.69,0.70,0.63,0.69,0.68,,,1.56,0.38
20, 1 ,2.17,1.99,2.03,2.05,2.02,,,,20, 1 ,1.27,1.16,1.23,1.17,1.19,,,1.70,0.83
40, 1 ,4.29,4.11,4.21,3.86,4.06,,,,40, 1 ,2.42,2.40,2.11,2.14,2.22,,,1.83,1.84
60, 1 ,6.33,5.93,6.11,6.12,6.05,,,,60, 1 ,3.47,3.26,3.37,3.29,3.31,,,1.83,2.74
80, 1 ,8.98,8.15,7.56,8.04,7.92,,,,80, 1 ,4.74,4.51,4.44,4.31,4.42,,,1.79,3.50
100, 1 ,8.95,7.76,8.09,8.23,8.03,,,,100, 1 ,6.10,5.59,5.54,5.61,5.58,,,1.44,2.45
1, 3 ,0.19,0.18,0.17,0.19,0.18,,,,1, 3 ,0.36,0.38,0.37,0.35,0.37,,,0.49,-0.19
5, 3 ,0.82,0.80,0.73,0.74,0.75,,,,5, 3 ,0.89,0.91,0.92,0.83,0.89,,,0.84,-0.14
10, 3 ,1.64,1.44,1.46,1.46,1.45,,,,10, 3 ,1.52,1.58,1.41,1.49,1.49,,,0.97,-0.04
20, 3 ,2.92,3.10,2.82,2.92,2.95,,,,20, 3 ,2.61,2.77,2.71,2.64,2.70,,,1.09,0.25
40, 3 ,6.03,5.92,5.62,5.48,5.67,,,,40, 3 ,5.51,4.85,4.89,4.57,4.77,,,1.19,0.90
60, 3 ,8.62,8.02,9.13,8.77,8.64,,,,60, 3 ,7.36,7.82,7.92,6.85,7.53,,,1.15,1.11
80, 3 ,12.32,11.67,10.41,11.87,11.32,,,,80, 3 ,9.52,9.24,9.45,9.40,9.36,,,1.21,1.96
100, 3 ,12.70,11.92,12.24,11.09,11.75,,,,100, 3 ,11.89,11.94,11.27,11.11,11.44,,,1.03,0.31
1, 6 ,0.25,0.25,0.25,0.24,0.25,,,,1, 6 ,0.72,0.71,0.69,0.71,0.71,,,0.35,-0.46
5, 6 ,0.98,0.94,1.01,0.99,0.98,,,,5, 6 ,1.56,1.59,1.49,1.36,1.48,,,0.66,-0.50
10, 6 ,2.01,1.93,1.93,1.84,1.90,,,,10, 6 ,2.67,2.29,2.39,2.35,2.35,,,0.81,-0.45
20, 6 ,3.84,3.67,3.84,3.63,3.71,,,,20, 6 ,4.35,4.82,4.38,4.03,4.41,,,0.84,-0.70
40, 6 ,7.94,7.30,7.49,7.39,7.39,,,,40, 6 ,8.22,7.57,7.96,7.90,7.81,,,0.95,-0.42
60, 6 ,11.44,11.11,10.66,11.18,10.98,,,,60, 6 ,11.64,11.16,11.65,10.88,11.23,,,0.98,-0.25
80, 6 ,15.05,14.28,13.98,14.31,14.19,,,,80, 6 ,16.46,15.78,15.34,15.56,15.56,,,0.91,-1.37
100, 6 ,16.42,15.83,16.05,16.94,16.27,,,,100, 6 ,19.76,18.40,18.29,17.54,18.07,,,0.90,-1.80
1, 9 ,0.33,0.33,0.35,0.37,0.35,,,,1, 9 ,1.08,1.10,1.08,1.11,1.10,,,0.32,-0.75
5, 9 ,1.21,1.30,1.25,1.20,1.25,,,,5, 9 ,2.28,2.28,2.41,2.34,2.34,,,0.53,-1.09
10, 9 ,2.56,2.48,2.41,2.41,2.43,,,,10, 9 ,4.00,3.67,3.71,3.52,3.63,,,0.67,-1.20
20, 9 ,4.72,4.49,4.67,4.61,4.59,,,,20, 9 ,6.37,6.89,6.72,6.09,6.57,,,0.70,-1.98
40, 9 ,9.57,8.94,8.71,8.78,8.81,,,,40, 9 ,11.67,10.32,11.52,10.99,10.94,,,0.81,-2.13
60, 9 ,13.43,13.03,13.20,12.96,13.07,,,,60, 9 ,16.66,17.44,15.16,16.47,16.35,,,0.80,-3.28
80, 9 ,18.27,17.68,17.42,17.18,17.43,,,,80, 9 ,21.30,20.78,22.76,23.12,22.22,,,0.78,-4.79
100, 9 ,20.42,20.56,19.73,20.65,20.31,,,,100, 9 ,26.32,26.45,25.83,27.94,26.74,,,0.76,-6.43
1, 12 ,0.45,0.39,0.37,0.42,0.39,,,,1, 12 ,1.47,1.49,1.42,1.44,1.45,,,0.27,-1.06
5, 12 ,1.42,1.44,1.38,1.40,1.41,,,,5, 12 ,2.78,3.02,2.99,3.17,3.06,,,0.46,-1.65
10, 12 ,2.70,2.48,2.41,2.55,2.48,,,,10, 12 ,5.16,4.87,5.00,4.98,4.95,,,0.50,-2.47
20, 12 ,5.13,4.86,5.14,5.06,5.02,,,,20, 12 ,8.86,8.47,8.23,8.19,8.30,,,0.60,-3.28
40, 12 ,9.99,10.14,10.00,10.08,10.07,,,,40, 12 ,15.69,15.35,13.31,15.19,14.62,,,0.69,-4.55
60, 12 ,15.40,14.06,13.99,15.30,14.45,,,,60, 12 ,22.13,19.55,21.13,19.07,19.92,,,0.73,-5.47
80, 12 ,18.57,19.45,19.29,19.83,19.53,,,,80, 12 ,27.46,28.95,27.56,27.83,28.11,,,0.69,-8.58
100, 12 ,23.08,22.47,22.39,22.70,22.52,,,,100, 12 ,32.84,33.09,33.10,34.49,33.56,,,0.67,-11.04
broadcast, , , , , , avg,,,,,,,,,,,,,,
1, 1 ,0.15,0.16,0.17,0.15,0.16,,,,,,,,,,,,,,
5, 1 ,0.43,0.39,0.40,0.37,0.38,,,,,,,,,,,,,,
10, 1 ,0.69,0.70,0.63,0.69,0.68,,,,,,,,,,,,,,
20, 1 ,1.27,1.16,1.23,1.17,1.19,,,,,,,,,,,,,,
40, 1 ,2.42,2.40,2.11,2.14,2.22,,,,,,,,,,,,,,
60, 1 ,3.47,3.26,3.37,3.29,3.31,,,,,,,,,,,,,,
80, 1 ,4.74,4.51,4.44,4.31,4.42,,,,,,,,,,,,,,
100, 1 ,6.10,5.59,5.54,5.61,5.58,,,,,,,,,,,,,,
1, 3 ,0.36,0.38,0.37,0.35,0.37,,,,,,,,,,,,,,
5, 3 ,0.89,0.91,0.92,0.83,0.89,,,,,,,,,,,,,,
10, 3 ,1.52,1.58,1.41,1.49,1.49,,,,,,,,,,,,,,
20, 3 ,2.61,2.77,2.71,2.64,2.70,,,,,,,,,,,,,,
40, 3 ,5.51,4.85,4.89,4.57,4.77,,,,,,,,,,,,,,
60, 3 ,7.36,7.82,7.92,6.85,7.53,,,,,,,,,,,,,,
80, 3 ,9.52,9.24,9.45,9.40,9.36,,,,,,,,,,,,,,
100, 3 ,11.89,11.94,11.27,11.11,11.44,,,,,,,,,,,,,,
1, 6 ,0.72,0.71,0.69,0.71,0.71,,,,,,,,,,,,,,
5, 6 ,1.56,1.59,1.49,1.36,1.48,,,,,,,,,,,,,,
10, 6 ,2.67,2.29,2.39,2.35,2.35,,,,,,,,,,,,,,
20, 6 ,4.35,4.82,4.38,4.03,4.41,,,,,,,,,,,,,,
40, 6 ,8.22,7.57,7.96,7.90,7.81,,,,,,,,,,,,,,
60, 6 ,11.64,11.16,11.65,10.88,11.23,,,,,,,,,,,,,,
80, 6 ,16.46,15.78,15.34,15.56,15.56,,,,,,,,,,,,,,
100, 6 ,19.76,18.40,18.29,17.54,18.07,,,,,,,,,,,,,,
1, 9 ,1.08,1.10,1.08,1.11,1.10,,,,,,,,,,,,,,
5, 9 ,2.28,2.28,2.41,2.34,2.34,,,,,,,,,,,,,,
10, 9 ,4.00,3.67,3.71,3.52,3.63,,,,,,,,,,,,,,
20, 9 ,6.37,6.89,6.72,6.09,6.57,,,,,,,,,,,,,,
40, 9 ,11.67,10.32,11.52,10.99,10.94,,,,,,,,,,,,,,
60, 9 ,16.66,17.44,15.16,16.47,16.35,,,,,,,,,,,,,,
80, 9 ,21.30,20.78,22.76,23.12,22.22,,,,,,,,,,,,,,
100, 9 ,26.32,26.45,25.83,27.94,26.74,,,,,,,,,,,,,,
1, 12 ,1.47,1.49,1.42,1.44,1.45,,,,,,,,,,,,,,
5, 12 ,2.78,3.02,2.99,3.17,3.06,,,,,,,,,,,,,,
10, 12 ,5.16,4.87,5.00,4.98,4.95,,,,,,,,,,,,,,
20, 12 ,8.86,8.47,8.23,8.19,8.30,,,,,,,,,,,,,,
40, 12 ,15.69,15.35,13.31,15.19,14.62,,,,,,,,,,,,,,
60, 12 ,22.13,19.55,21.13,19.07,19.92,,,,,,,,,,,,,,
80, 12 ,27.46,28.95,27.56,27.83,28.11,,,,,,,,,,,,,,
100, 12 ,32.84,33.09,33.10,34.49,33.56,,,,,,,,,,,,,,
