shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.16,0.13,0.14,0.14,0.13,,,,1, 1 ,0.12,0.11,0.11,0.11,0.11,,,1.18,0.02
5, 1 ,0.57,0.50,0.48,0.50,0.49,,,,5, 1 ,0.31,0.29,0.28,0.29,0.29,,,1.69,0.20
10, 1 ,1.02,1.07,1.00,0.98,1.02,,,,10, 1 ,0.54,0.47,0.52,0.51,0.50,,,2.04,0.52
20, 1 ,2.20,1.94,1.92,2.11,1.99,,,,20, 1 ,0.99,0.90,0.88,0.89,0.89,,,2.24,1.10
40, 1 ,3.87,3.73,3.72,3.78,3.75,,,,40, 1 ,1.85,1.65,1.74,1.59,1.66,,,2.26,2.09
60, 1 ,5.69,5.32,5.31,5.68,5.44,,,,60, 1 ,2.64,2.49,2.45,2.49,2.47,,,2.20,2.97
80, 1 ,8.20,7.66,7.24,7.14,7.34,,,,80, 1 ,3.49,3.39,3.14,3.24,3.25,,,2.26,4.09
100, 1 ,8.53,7.67,7.95,7.67,7.76,,,,100, 1 ,4.26,4.19,3.94,4.19,4.10,,,1.89,3.66
1, 3 ,0.15,0.14,0.14,0.14,0.14,,,,1, 3 ,0.22,0.20,0.20,0.20,0.20,,,0.70,-0.06
5, 3 ,0.60,0.65,0.58,0.55,0.60,,,,5, 3 ,0.54,0.51,0.47,0.51,0.50,,,1.20,0.10
10, 3 ,1.29,1.13,1.13,1.10,1.12,,,,10, 3 ,0.88,0.85,0.83,0.87,0.85,,,1.32,0.27
20, 3 ,2.33,2.29,2.13,2.37,2.26,,,,20, 3 ,1.71,1.51,1.46,1.44,1.47,,,1.54,0.79
40, 3 ,4.68,4.38,4.33,4.48,4.40,,,,40, 3 ,3.03,2.80,2.86,2.85,2.84,,,1.55,1.56
60, 3 ,6.71,6.40,6.00,6.27,6.23,,,,60, 3 ,4.63,4.49,4.20,4.15,4.28,,,1.46,1.95
80, 3 ,9.07,8.45,8.34,8.24,8.34,,,,80, 3 ,6.03,5.65,5.85,5.89,5.80,,,1.44,2.54
100, 3 ,9.73,8.51,8.79,9.04,8.78,,,,100, 3 ,6.99,6.93,7.31,7.15,7.13,,,1.23,1.65
1, 6 ,0.18,0.17,0.19,0.16,0.17,,,,1, 6 ,0.39,0.36,0.38,0.36,0.37,,,0.46,-0.20
5, 6 ,0.79,0.73,0.73,0.74,0.73,,,,5, 6 ,0.80,0.74,0.73,0.76,0.74,,,0.99,-0.01
10, 6 ,1.44,1.32,1.47,1.32,1.37,,,,10, 6 ,1.19,1.18,1.21,1.13,1.17,,,1.17,0.20
20, 6 ,2.81,2.63,2.50,2.83,2.65,,,,20, 6 ,2.18,2.08,2.21,2.13,2.14,,,1.24,0.51
40, 6 ,5.77,5.38,5.10,5.60,5.36,,,,40, 6 ,4.33,3.78,3.92,4.06,3.92,,,1.37,1.44
60, 6 ,8.13,8.22,7.83,7.29,7.78,,,,60, 6 ,5.85,5.50,5.76,5.35,5.54,,,1.40,2.24
80, 6 ,10.28,10.50,10.07,10.84,10.47,,,,80, 6 ,7.18,7.47,7.09,7.62,7.39,,,1.42,3.08
100, 6 ,12.01,9.82,11.38,10.49,10.56,,,,100, 6 ,9.48,9.47,9.64,8.85,9.32,,,1.13,1.24
1, 9 ,0.21,0.20,0.19,0.19,0.19,,,,1, 9 ,0.62,0.61,0.60,0.59,0.60,,,0.32,-0.41
