shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.33,0.25,0.25,0.24,0.24,,,,1, 1 ,0.16,0.13,0.13,0.13,0.13,,,1.85,0.11
5, 1 ,1.24,1.03,1.05,1.11,1.06,,,,5, 1 ,0.52,0.36,0.36,0.39,0.37,,,2.86,0.69
10, 1 ,2.23,2.15,2.77,3.18,2.70,,,,10, 1 ,1.63,0.63,0.66,0.62,0.64,,,4.22,2.06
20, 1 ,6.47,6.25,6.44,6.81,6.50,,,,20, 1 ,2.42,1.20,1.20,1.19,1.20,,,5.42,5.30
40, 1 ,13.64,13.58,10.09,12.25,11.97,,,,40, 1 ,4.81,2.95,2.91,2.93,2.93,,,4.09,9.04
60, 1 ,17.58,18.46,17.83,20.35,18.88,,,,60, 1 ,13.12,4.97,4.87,4.92,4.92,,,3.84,13.96
80, 1 ,25.32,22.31,24.94,25.25,24.17,,,,80, 1 ,6.86,6.51,6.48,6.48,6.49,,,3.72,17.68
100, 1 ,20.85,20.35,30.01,32.56,27.64,,,,100, 1 ,7.62,7.91,7.61,7.58,7.70,,,3.59,19.94
1, 3 ,0.32,0.48,0.45,0.26,0.40,,,,1, 3 ,0.26,0.22,0.22,0.22,0.22,,,1.82,0.18
5, 3 ,2.00,1.78,1.54,1.61,1.65,,,,5, 3 ,0.67,0.57,0.61,0.58,0.59,,,2.80,1.06
10, 3 ,3.36,3.64,3.20,2.81,3.22,,,,10, 3 ,1.47,0.96,1.02,1.02,1.00,,,3.22,2.22
20, 3 ,6.68,6.01,6.87,6.40,6.43,,,,20, 3 ,2.56,1.86,1.80,1.86,1.84,,,3.49,4.59
40, 3 ,11.08,8.98,13.74,12.71,11.81,,,,40, 3 ,6.12,3.88,3.81,3.75,3.81,,,3.10,8.00
60, 3 ,18.75,17.70,20.82,20.51,19.68,,,,60, 3 ,13.21,6.08,5.96,5.99,6.01,,,3.27,13.67
80, 3 ,27.22,23.98,26.37,20.05,23.47,,,,80, 3 ,27.53,8.20,8.00,7.96,8.05,,,2.92,15.42
100, 3 ,33.54,28.63,30.05,28.13,28.94,,,,100, 3 ,9.71,9.69,9.56,9.50,9.59,,,3.02,19.35
1, 6 ,0.40,0.28,0.49,0.47,0.42,,,,1, 6 ,0.39,0.40,0.38,0.38,0.39,,,1.08,0.03
5, 6 ,1.59,1.87,1.89,1.66,1.81,,,,5, 6 ,0.94,0.82,0.81,0.88,0.84,,,2.15,0.97
10, 6 ,3.20,3.26,3.08,3.05,3.13,,,,10, 6 ,1.53,1.38,1.40,1.38,1.39,,,2.25,1.74
20, 6 ,5.79,6.81,6.81,5.96,6.53,,,,20, 6 ,3.29,2.40,2.46,2.43,2.43,,,2.69,4.10
40, 6 ,11.54,9.51,12.30,11.87,11.23,,,,40, 6 ,6.71,4.73,4.65,4.61,4.67,,,2.40,6.56
60, 6 ,18.87,17.14,18.82,18.37,18.11,,,,60, 6 ,11.27,7.19,7.11,7.01,7.10,,,2.55,11.01
80, 6 ,27.22,20.49,20.33,19.97,20.26,,,,80, 6 ,17.99,9.28,9.37,9.31,9.32,,,2.17,10.94
100, 6 ,21.47,32.87,28.65,29.77,30.43,,,,100, 6 ,11.29,11.38,11.26,11.29,11.31,,,2.69,19.12
1, 9 ,0.37,0.31,0.49,0.38,0.39,,,,1, 9 ,0.66,0.62,0.62,0.62,0.62,,,0.63,-0.23
5, 9 ,1.51,1.66,1.40,1.58,1.55,,,,5, 9 ,1.30,1.21,1.13,1.24,1.19,,,1.30,0.36
10, 9 ,3.12,3.45,3.13,3.14,3.24,,,,10, 9 ,2.02,1.94,2.01,1.92,1.96,,,1.65,1.28
20, 9 ,6.43,4.72,6.79,5.85,5.79,,,,20, 9 ,5.07,3.58,3.48,3.43,3.50,,,1.65,2.29
40, 9 ,11.52,13.37,13.47,13.24,13.36,,,,40, 9 ,11.06,6.25,6.51,6.70,6.49,,,2.06,6.87
60, 9 ,16.20,15.54,15.58,14.84,15.32,,,,60, 9 ,11.75,9.63,9.50,9.64,9.59,,,1.60,5.73
80, 9 ,27.18,19.56,19.64,21.64,20.28,,,,80, 9 ,17.77,12.65,12.36,12.69,12.57,,,1.61,7.71
100, 9 ,22.07,22.20,22.57,22.18,22.31,,,,100, 9 ,15.63,15.81,15.48,15.33,15.54,,,1.44,6.77
1, 12 ,0.37,0.35,0.32,0.32,0.33,,,,1, 12 ,0.84,0.81,0.81,0.78,0.80,,,0.41,-0.47
5, 12 ,1.44,1.43,1.25,1.33,1.34,,,,5, 12 ,1.61,1.55,1.44,1.53,1.51,,,0.89,-0.17
10, 12 ,2.75,2.73,2.18,2.29,2.40,,,,10, 12 ,2.57,2.36,2.32,2.37,2.35,,,1.02,0.05
20, 12 ,5.48,5.05,4.65,5.87,5.19,,,,20, 12 ,4.63,4.29,4.39,4.27,4.32,,,1.20,0.87
40, 12 ,11.83,12.22,13.15,12.20,12.52,,,,40, 12 ,8.21,7.84,8.28,8.17,8.10,,,1.55,4.42
60, 12 ,16.14,15.81,15.98,15.80,15.86,,,,60, 12 ,12.18,11.98,11.52,12.00,11.83,,,1.34,4.03
80, 12 ,19.20,21.53,20.70,20.67,20.97,,,,80, 12 ,16.15,15.35,15.77,15.40,15.51,,,1.35,5.46
100, 12 ,22.10,23.27,22.13,22.78,22.73,,,,100, 12 ,18.98,19.40,19.19,19.20,19.26,,,1.18,3.47
broadcast, , , , , , avg,,,,,,,,,,,,,,
1, 1 ,0.16,0.13,0.13,0.13,0.13,,,,,,,,,,,,,,
5, 1 ,0.52,0.36,0.36,0.39,0.37,,,,,,,,,,,,,,
10, 1 ,1.63,0.63,0.66,0.62,0.64,,,,,,,,,,,,,,
20, 1 ,2.42,1.20,1.20,1.19,1.20,,,,,,,,,,,,,,
40, 1 ,4.81,2.95,2.91,2.93,2.93,,,,,,,,,,,,,,
60, 1 ,13.12,4.97,4.87,4.92,4.92,,,,,,,,,,,,,,
80, 1 ,6.86,6.51,6.48,6.48,6.49,,,,,,,,,,,,,,
100, 1 ,7.62,7.91,7.61,7.58,7.70,,,,,,,,,,,,,,
1, 3 ,0.26,0.22,0.22,0.22,0.22,,,,,,,,,,,,,,
5, 3 ,0.67,0.57,0.61,0.58,0.59,,,,,,,,,,,,,,
10, 3 ,1.47,0.96,1.02,1.02,1.00,,,,,,,,,,,,,,
20, 3 ,2.56,1.86,1.80,1.86,1.84,,,,,,,,,,,,,,
40, 3 ,6.12,3.88,3.81,3.75,3.81,,,,,,,,,,,,,,
60, 3 ,13.21,6.08,5.96,5.99,6.01,,,,,,,,,,,,,,
80, 3 ,27.53,8.20,8.00,7.96,8.05,,,,,,,,,,,,,,
100, 3 ,9.71,9.69,9.56,9.50,9.59,,,,,,,,,,,,,,
1, 6 ,0.39,0.40,0.38,0.38,0.39,,,,,,,,,,,,,,
5, 6 ,0.94,0.82,0.81,0.88,0.84,,,,,,,,,,,,,,
10, 6 ,1.53,1.38,1.40,1.38,1.39,,,,,,,,,,,,,,
20, 6 ,3.29,2.40,2.46,2.43,2.43,,,,,,,,,,,,,,
40, 6 ,6.71,4.73,4.65,4.61,4.67,,,,,,,,,,,,,,
60, 6 ,11.27,7.19,7.11,7.01,7.10,,,,,,,,,,,,,,
80, 6 ,17.99,9.28,9.37,9.31,9.32,,,,,,,,,,,,,,
100, 6 ,11.29,11.38,11.26,11.29,11.31,,,,,,,,,,,,,,
1, 9 ,0.66,0.62,0.62,0.62,0.62,,,,,,,,,,,,,,
5, 9 ,1.30,1.21,1.13,1.24,1.19,,,,,,,,,,,,,,
10, 9 ,2.02,1.94,2.01,1.92,1.96,,,,,,,,,,,,,,
20, 9 ,5.07,3.58,3.48,3.43,3.50,,,,,,,,,,,,,,
40, 9 ,11.06,6.25,6.51,6.70,6.49,,,,,,,,,,,,,,
60, 9 ,11.75,9.63,9.50,9.64,9.59,,,,,,,,,,,,,,
80, 9 ,17.77,12.65,12.36,12.69,12.57,,,,,,,,,,,,,,
100, 9 ,15.63,15.81,15.48,15.33,15.54,,,,,,,,,,,,,,
1, 12 ,0.84,0.81,0.81,0.78,0.80,,,,,,,,,,,,,,
5, 12 ,1.61,1.55,1.44,1.53,1.51,,,,,,,,,,,,,,
10, 12 ,2.57,2.36,2.32,2.37,2.35,,,,,,,,,,,,,,
20, 12 ,4.63,4.29,4.39,4.27,4.32,,,,,,,,,,,,,,
40, 12 ,8.21,7.84,8.28,8.17,8.10,,,,,,,,,,,,,,
60, 12 ,12.18,11.98,11.52,12.00,11.83,,,,,,,,,,,,,,
80, 12 ,16.15,15.35,15.77,15.40,15.51,,,,,,,,,,,,,,
100, 12 ,18.98,19.40,19.19,19.20,19.26,,,,,,,,,,,,,,
