shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.14,0.12,0.14,0.12,0.13,,,,1, 1 ,0.14,0.12,0.12,0.13,0.12,,,1.08,0.01
5, 1 ,0.63,0.48,0.55,0.51,0.51,,,,5, 1 ,0.35,0.31,0.31,0.31,0.31,,,1.65,0.20
10, 1 ,1.15,0.94,0.95,1.02,0.97,,,,10, 1 ,0.59,0.54,0.56,0.54,0.55,,,1.76,0.42
20, 1 ,2.08,1.82,1.90,2.10,1.94,,,,20, 1 ,1.08,1.03,1.03,1.05,1.04,,,1.87,0.90
40, 1 ,4.02,3.71,3.82,3.66,3.73,,,,40, 1 ,2.03,1.78,1.76,1.76,1.77,,,2.11,1.96
60, 1 ,6.11,5.53,5.46,5.50,5.49,,,,60, 1 ,2.94,2.75,2.75,2.65,2.71,,,2.03,2.78
80, 1 ,8.77,7.82,7.33,7.72,7.62,,,,80, 1 ,3.68,3.81,3.46,3.68,3.65,,,2.09,3.97
100, 1 ,8.27,7.74,7.35,8.37,7.82,,,,100, 1 ,4.64,4.65,4.50,4.42,4.53,,,1.73,3.29
1, 3 ,0.14,0.15,0.15,0.17,0.16,,,,1, 3 ,0.26,0.24,0.24,0.24,0.24,,,0.67,-0.08
5, 3 ,0.72,0.62,0.61,0.64,0.62,,,,5, 3 ,0.62,0.62,0.59,0.58,0.60,,,1.03,0.02
10, 3 ,1.32,1.23,1.26,1.49,1.33,,,,10, 3 ,1.06,1.02,0.97,1.08,1.02,,,1.30,0.31
20, 3 ,2.37,2.34,2.57,2.35,2.42,,,,20, 3 ,1.85,1.82,1.86,1.87,1.85,,,1.31,0.57
40, 3 ,5.08,5.28,5.31,4.23,4.94,,,,40, 3 ,3.56,3.48,3.55,3.33,3.46,,,1.43,1.48
60, 3 ,7.05,6.91,6.90,6.78,6.86,,,,60, 3 ,5.38,5.14,4.76,5.19,5.03,,,1.36,1.83
80, 3 ,9.53,8.77,9.72,9.59,9.36,,,,80, 3 ,7.20,6.52,6.59,6.58,6.56,,,1.43,2.80
100, 3 ,10.04,9.31,9.36,9.24,9.30,,,,100, 3 ,8.77,8.47,8.17,8.00,8.21,,,1.13,1.09
1, 6 ,0.20,0.19,0.18,0.20,0.19,,,,1, 6 ,0.48,0.47,0.49,0.47,0.48,,,0.40,-0.29
5, 6 ,0.75,0.73,0.90,0.78,0.80,,,,5, 6 ,0.93,0.93,0.93,0.84,0.90,,,0.89,-0.10
10, 6 ,1.52,1.57,1.58,1.55,1.57,,,,10, 6 ,1.60,1.52,1.58,1.48,1.53,,,1.03,0.04
20, 6 ,3.10,3.06,3.19,3.05,3.10,,,,20, 6 ,2.82,2.42,2.60,2.92,2.65,,,1.17,0.45
40, 6 ,6.35,6.08,5.91,5.67,5.88,,,,40, 6 ,4.94,4.67,4.94,4.74,4.78,,,1.23,1.10
60, 6 ,8.91,9.17,9.39,8.84,9.13,,,,60, 6 ,7.22,7.22,7.06,6.80,7.03,,,1.30,2.10
80, 6 ,12.14,11.36,12.14,12.02,11.84,,,,80, 6 ,9.48,9.84,10.34,9.22,9.80,,,1.21,2.04
100, 6 ,12.96,12.59,12.36,12.96,12.64,,,,100, 6 ,12.01,11.68,10.86,11.07,11.20,,,1.13,1.44
1, 9 ,0.26,0.24,0.24,0.23,0.23,,,,1, 9 ,0.74,0.72,0.75,0.75,0.74,,,0.31,-0.51
5, 9 ,0.95,0.96,0.92,0.93,0.94,,,,5, 9 ,1.41,1.39,1.38,1.30,1.36,,,0.69,-0.42
10, 9 ,1.86,2.11,1.86,1.78,1.92,,,,10, 9 ,2.16,2.15,2.02,2.31,2.16,,,0.89,-0.24
20, 9 ,3.69,3.58,3.48,3.47,3.51,,,,20, 9 ,3.74,3.93,4.03,3.38,3.78,,,0.93,-0.27
40, 9 ,7.24,6.99,6.63,7.40,7.00,,,,40, 9 ,6.79,5.94,6.76,6.35,6.35,,,1.10,0.65
60, 9 ,11.27,10.10,10.23,10.07,10.13,,,,60, 9 ,10.46,10.62,9.73,10.25,10.20,,,0.99,-0.07
80, 9 ,14.15,13.56,12.92,13.87,13.45,,,,80, 9 ,14.05,11.55,13.14,13.27,12.65,,,1.06,0.80
