shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.17,0.15,0.17,0.19,0.17,,,,1, 1 ,0.12,0.11,0.10,0.11,0.11,,,1.55,0.06
5, 1 ,0.73,0.64,0.66,0.63,0.64,,,,5, 1 ,0.35,0.28,0.30,0.32,0.30,,,2.13,0.34
10, 1 ,1.34,1.14,1.21,1.25,1.20,,,,10, 1 ,0.59,0.49,0.51,0.48,0.50,,,2.40,0.70
20, 1 ,2.52,2.22,2.45,2.34,2.34,,,,20, 1 ,1.13,0.96,0.92,0.96,0.95,,,2.46,1.39
40, 1 ,5.22,4.98,5.05,6.62,5.55,,,,40, 1 ,2.16,1.75,1.79,1.83,1.79,,,3.10,3.76
60, 1 ,9.90,9.86,9.64,9.59,9.70,,,,60, 1 ,3.15,2.51,2.61,2.54,2.55,,,3.80,7.15
80, 1 ,14.47,10.74,10.52,10.32,10.52,,,,80, 1 ,4.16,3.78,3.78,3.78,3.78,,,2.78,6.74
100, 1 ,11.98,12.11,12.14,11.96,12.07,,,,100, 1 ,5.21,5.15,5.19,5.12,5.15,,,2.34,6.92
1, 3 ,0.18,0.18,0.18,0.16,0.17,,,,1, 3 ,0.22,0.21,0.20,0.21,0.21,,,0.81,-0.04
5, 3 ,0.73,0.64,0.79,0.79,0.74,,,,5, 3 ,0.57,0.53,0.50,0.54,0.52,,,1.42,0.22
10, 3 ,1.64,1.26,1.36,1.19,1.27,,,,10, 3 ,1.03,0.89,0.87,0.83,0.86,,,1.48,0.41
20, 3 ,2.83,2.42,2.78,2.55,2.58,,,,20, 3 ,1.74,1.69,1.64,1.72,1.68,,,1.54,0.90
40, 3 ,5.86,5.38,5.18,6.98,5.85,,,,40, 3 ,3.30,3.13,3.18,3.22,3.18,,,1.84,2.67
60, 3 ,10.67,11.00,9.30,10.32,10.20,,,,60, 3 ,4.98,4.48,4.53,4.54,4.52,,,2.26,5.68
80, 3 ,13.09,11.46,11.74,12.11,11.77,,,,80, 3 ,6.32,6.20,6.14,6.28,6.21,,,1.90,5.56
100, 3 ,13.83,13.05,12.96,13.58,13.20,,,,100, 3 ,7.91,7.90,7.97,8.11,7.99,,,1.65,5.21
1, 6 ,0.24,0.20,0.21,0.23,0.21,,,,1, 6 ,0.40,0.35,0.37,0.38,0.37,,,0.57,-0.16
5, 6 ,0.94,0.79,0.84,0.79,0.81,,,,5, 6 ,0.84,0.78,0.78,0.79,0.79,,,1.03,0.02
10, 6 ,1.85,1.60,1.55,1.74,1.63,,,,10, 6 ,1.29,1.33,1.23,1.23,1.26,,,1.29,0.37
20, 6 ,3.51,3.31,3.22,3.12,3.22,,,,20, 6 ,2.33,2.17,2.28,2.32,2.25,,,1.43,0.97
40, 6 ,6.54,6.16,5.62,6.59,6.12,,,,40, 6 ,4.34,4.17,4.14,4.11,4.14,,,1.48,1.98
60, 6 ,9.50,9.49,8.76,9.66,9.30,,,,60, 6 ,6.17,6.04,6.15,5.79,5.99,,,1.55,3.31
80, 6 ,12.46,11.35,12.35,11.68,11.79,,,,80, 6 ,8.18,8.30,7.84,8.38,8.18,,,1.44,3.61
100, 6 ,14.05,13.26,14.90,13.30,13.82,,,,100, 6 ,10.21,10.06,10.16,10.28,10.17,,,1.36,3.65
1, 9 ,0.28,0.24,0.22,0.26,0.24,,,,1, 9 ,0.62,0.61,0.62,0.60,0.61,,,0.39,-0.37
5, 9 ,1.04,1.05,0.95,0.94,0.98,,,,5, 9 ,1.22,1.12,1.16,1.17,1.15,,,0.85,-0.17
10, 9 ,1.98,1.95,1.82,1.90,1.89,,,,10, 9 ,1.93,1.70,1.76,1.84,1.76,,,1.07,0.13
