shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.21,0.15,0.15,0.15,0.15,,,,1, 1 ,0.11,0.10,0.08,0.09,0.09,,,1.67,0.06
5, 1 ,0.88,0.63,0.59,0.66,0.63,,,,5, 1 ,0.38,0.24,0.24,0.25,0.24,,,2.62,0.39
10, 1 ,1.79,1.14,1.18,1.25,1.19,,,,10, 1 ,0.70,0.45,0.46,0.45,0.45,,,2.64,0.74
20, 1 ,4.37,2.23,2.24,2.23,2.23,,,,20, 1 ,1.37,0.87,0.89,0.87,0.88,,,2.53,1.35
40, 1 ,8.65,5.19,5.61,5.31,5.37,,,,40, 1 ,2.65,2.62,2.65,2.63,2.63,,,2.04,2.74
60, 1 ,14.62,7.93,8.59,7.93,8.15,,,,60, 1 ,3.92,3.95,3.90,3.88,3.91,,,2.08,4.24
80, 1 ,14.32,11.13,10.47,10.54,10.71,,,,80, 1 ,5.24,5.16,5.16,5.18,5.17,,,2.07,5.54
100, 1 ,41.33,13.28,12.99,12.81,13.03,,,,100, 1 ,5.92,5.92,5.94,5.92,5.93,,,2.20,7.10
1, 3 ,0.23,0.16,0.16,0.16,0.16,,,,1, 3 ,0.22,0.20,0.18,0.19,0.19,,,0.84,-0.03
5, 3 ,0.92,0.66,0.70,0.65,0.67,,,,5, 3 ,0.48,0.38,0.39,0.39,0.39,,,1.72,0.28
10, 3 ,1.72,1.18,1.26,1.20,1.21,,,,10, 3 ,0.86,0.69,0.64,0.64,0.65,,,1.86,0.56
20, 3 ,2.90,2.44,2.35,2.56,2.45,,,,20, 3 ,1.62,1.18,1.22,1.19,1.20,,,2.04,1.25
40, 3 ,6.00,5.96,5.52,5.52,5.66,,,,40, 3 ,3.13,3.08,3.07,3.11,3.09,,,1.83,2.57
60, 3 ,8.26,8.91,8.92,8.87,8.90,,,,60, 3 ,4.57,4.56,4.57,4.59,4.57,,,1.95,4.33
80, 3 ,11.02,11.85,10.97,11.09,11.30,,,,80, 3 ,6.04,6.04,6.04,6.08,6.06,,,1.86,5.24
100, 3 ,14.48,13.56,14.43,13.60,13.86,,,,100, 3 ,7.08,7.09,7.11,7.08,7.09,,,1.95,6.77
1, 6 ,0.19,0.16,0.18,0.19,0.18,,,,1, 6 ,0.37,0.38,0.36,0.36,0.37,,,0.49,-0.19
5, 6 ,0.79,0.70,0.72,0.69,0.71,,,,5, 6 ,0.71,0.55,0.57,0.60,0.57,,,1.25,0.14
