shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.08,0.07,0.07,0.07,0.07,,,,1, 1 ,0.40,0.41,0.38,0.39,0.39,,,0.18,-0.32
5, 1 ,0.27,0.24,0.28,0.27,0.26,,,,5, 1 ,0.52,0.52,0.55,0.51,0.53,,,0.49,-0.27
10, 1 ,0.48,0.50,0.52,0.49,0.50,,,,10, 1 ,0.69,0.64,0.65,0.67,0.66,,,0.76,-0.16
20, 1 ,0.95,0.96,0.89,0.86,0.90,,,,20, 1 ,1.20,1.04,1.06,0.97,1.02,,,0.88,-0.12
40, 1 ,1.66,1.66,1.90,1.89,1.82,,,,40, 1 ,1.67,1.64,1.65,1.70,1.66,,,1.10,0.16
60, 1 ,2.58,2.47,2.52,2.79,2.59,,,,60, 1 ,2.55,2.41,2.27,2.44,2.37,,,1.09,0.22
80, 1 ,3.61,3.29,3.17,3.51,3.32,,,,80, 1 ,3.15,2.96,2.86,2.95,2.92,,,1.14,0.40
100, 1 ,4.77,4.45,4.33,4.30,4.36,,,,100, 1 ,3.66,3.25,3.21,3.14,3.20,,,1.36,1.16
1, 3 ,0.12,0.10,0.12,0.11,0.11,,,,1, 3 ,1.28,1.10,1.12,1.09,1.10,,,0.10,-0.99
5, 3 ,0.40,0.38,0.37,0.35,0.37,,,,5, 3 ,1.57,1.65,1.46,1.54,1.55,,,0.24,-1.18
10, 3 ,0.73,0.70,0.67,0.68,0.69,,,,10, 3 ,1.92,2.00,1.76,1.76,1.84,,,0.37,-1.15
20, 3 ,1.44,1.33,1.38,1.36,1.35,,,,20, 3 ,2.99,2.69,2.58,2.66,2.64,,,0.51,-1.29
40, 3 ,2.74,2.59,2.61,2.68,2.63,,,,40, 3 ,4.03,3.91,3.98,3.82,3.91,,,0.67,-1.28
60, 3 ,3.80,3.65,3.85,4.15,3.88,,,,60, 3 ,5.63,5.31,5.22,5.01,5.18,,,0.75,-1.30
80, 3 ,5.12,5.21,5.32,4.98,5.17,,,,80, 3 ,6.76,6.67,6.36,6.55,6.53,,,0.79,-1.36
100, 3 ,6.61,6.42,6.32,6.02,6.25,,,,100, 3 ,7.68,7.13,6.96,6.74,6.95,,,0.90,-0.70
1, 6 ,0.18,0.17,0.17,0.16,0.16,,,,1, 6 ,2.30,2.26,2.22,2.45,2.31,,,0.07,-2.15
5, 6 ,0.57,0.55,0.50,0.52,0.53,,,,5, 6 ,2.92,2.96,2.79,2.72,2.82,,,0.19,-2.29
10, 6 ,1.03,1.04,0.98,1.04,1.02,,,,10, 6 ,3.48,3.41,3.59,3.44,3.48,,,0.29,-2.46
20, 6 ,1.96,1.95,1.97,1.96,1.96,,,,20, 6 ,4.58,4.86,4.61,4.60,4.69,,,0.42,-2.73
40, 6 ,3.82,3.85,3.78,3.89,3.84,,,,40, 6 ,7.20,6.98,6.84,6.70,6.84,,,0.56,-3.00
60, 6 ,5.78,5.70,5.82,5.62,5.71,,,,60, 6 ,9.34,9.01,8.87,9.05,8.97,,,0.64,-3.26
80, 6 ,7.78,7.39,7.41,7.47,7.43,,,,80, 6 ,11.85,11.27,11.23,11.24,11.25,,,0.66,-3.82
100, 6 ,9.34,8.87,8.86,8.86,8.86,,,,100, 6 ,12.18,11.94,11.81,11.73,11.82,,,0.75,-2.96
1, 9 ,0.24,0.23,0.25,0.24,0.24,,,,1, 9 ,3.43,3.36,3.58,3.50,3.48,,,0.07,-3.24
5, 9 ,0.69,0.70,0.79,0.67,0.72,,,,5, 9 ,4.33,4.15,4.20,4.12,4.16,,,0.17,-3.44
10, 9 ,1.25,1.35,1.29,1.38,1.34,,,,10, 9 ,5.17,4.93,5.45,5.23,5.20,,,0.26,-3.86
20, 9 ,2.45,2.44,2.44,2.49,2.46,,,,20, 9 ,6.97,6.96,6.73,6.97,6.89,,,0.36,-4.43
40, 9 ,4.92,4.75,4.96,4.94,4.88,,,,40, 9 ,10.34,10.07,10.02,10.05,10.05,,,0.49,-5.17
60, 9 ,7.29,7.32,7.18,7.17,7.22,,,,60, 9 ,13.88,13.72,13.25,13.39,13.45,,,0.54,-6.23
80, 9 ,9.76,9.43,9.25,9.52,9.40,,,,80, 9 ,17.05,16.70,16.39,16.48,16.52,,,0.57,-7.12
100, 9 ,11.46,11.49,11.12,11.28,11.30,,,,100, 9 ,17.97,17.44,17.67,17.19,17.43,,,0.65,-6.13
1, 12 ,0.31,0.30,0.30,0.28,0.30,,,,1, 12 ,4.61,4.45,4.77,4.73,4.65,,,0.06,-4.35
5, 12 ,0.83,0.81,0.86,0.83,0.83,,,,5, 12 ,5.48,5.54,5.48,5.55,5.52,,,0.15,-4.69
10, 12 ,1.55,1.50,1.49,1.47,1.49,,,,10, 12 ,6.71,6.51,6.84,6.63,6.66,,,0.22,-5.17
20, 12 ,2.93,2.85,2.92,2.88,2.88,,,,20, 12 ,9.27,8.97,8.96,9.56,9.16,,,0.31,-6.28
40, 12 ,5.78,5.70,5.81,5.76,5.75,,,,40, 12 ,13.99,13.49,13.26,13.77,13.51,,,0.43,-7.76
60, 12 ,8.46,8.42,8.31,8.59,8.44,,,,60, 12 ,18.07,17.99,17.83,17.77,17.86,,,0.47,-9.42
80, 12 ,11.46,10.93,11.20,11.12,11.08,,,,80, 12 ,22.96,22.21,22.24,21.91,22.12,,,0.50,-11.04
100, 12 ,13.72,13.28,13.15,13.14,13.19,,,,100, 12 ,23.83,23.30,23.44,23.15,23.30,,,0.57,-10.11
broadcast, , , , , , avg,,,,,,,,,,,,,,
1, 1 ,0.40,0.41,0.38,0.39,0.39,,,,,,,,,,,,,,
5, 1 ,0.52,0.52,0.55,0.51,0.53,,,,,,,,,,,,,,
10, 1 ,0.69,0.64,0.65,0.67,0.66,,,,,,,,,,,,,,
20, 1 ,1.20,1.04,1.06,0.97,1.02,,,,,,,,,,,,,,
40, 1 ,1.67,1.64,1.65,1.70,1.66,,,,,,,,,,,,,,
60, 1 ,2.55,2.41,2.27,2.44,2.37,,,,,,,,,,,,,,
80, 1 ,3.15,2.96,2.86,2.95,2.92,,,,,,,,,,,,,,
100, 1 ,3.66,3.25,3.21,3.14,3.20,,,,,,,,,,,,,,
1, 3 ,1.28,1.10,1.12,1.09,1.10,,,,,,,,,,,,,,
5, 3 ,1.57,1.65,1.46,1.54,1.55,,,,,,,,,,,,,,
10, 3 ,1.92,2.00,1.76,1.76,1.84,,,,,,,,,,,,,,
20, 3 ,2.99,2.69,2.58,2.66,2.64,,,,,,,,,,,,,,
40, 3 ,4.03,3.91,3.98,3.82,3.91,,,,,,,,,,,,,,
60, 3 ,5.63,5.31,5.22,5.01,5.18,,,,,,,,,,,,,,
80, 3 ,6.76,6.67,6.36,6.55,6.53,,,,,,,,,,,,,,
100, 3 ,7.68,7.13,6.96,6.74,6.95,,,,,,,,,,,,,,
1, 6 ,2.30,2.26,2.22,2.45,2.31,,,,,,,,,,,,,,
5, 6 ,2.92,2.96,2.79,2.72,2.82,,,,,,,,,,,,,,
10, 6 ,3.48,3.41,3.59,3.44,3.48,,,,,,,,,,,,,,
20, 6 ,4.58,4.86,4.61,4.60,4.69,,,,,,,,,,,,,,
40, 6 ,7.20,6.98,6.84,6.70,6.84,,,,,,,,,,,,,,
60, 6 ,9.34,9.01,8.87,9.05,8.97,,,,,,,,,,,,,,
80, 6 ,11.85,11.27,11.23,11.24,11.25,,,,,,,,,,,,,,
100, 6 ,12.18,11.94,11.81,11.73,11.82,,,,,,,,,,,,,,
1, 9 ,3.43,3.36,3.58,3.50,3.48,,,,,,,,,,,,,,
5, 9 ,4.33,4.15,4.20,4.12,4.16,,,,,,,,,,,,,,
10, 9 ,5.17,4.93,5.45,5.23,5.20,,,,,,,,,,,,,,
20, 9 ,6.97,6.96,6.73,6.97,6.89,,,,,,,,,,,,,,
40, 9 ,10.34,10.07,10.02,10.05,10.05,,,,,,,,,,,,,,
60, 9 ,13.88,13.72,13.25,13.39,13.45,,,,,,,,,,,,,,
80, 9 ,17.05,16.70,16.39,16.48,16.52,,,,,,,,,,,,,,
100, 9 ,17.97,17.44,17.67,17.19,17.43,,,,,,,,,,,,,,
1, 12 ,4.61,4.45,4.77,4.73,4.65,,,,,,,,,,,,,,
5, 12 ,5.48,5.54,5.48,5.55,5.52,,,,,,,,,,,,,,
10, 12 ,6.71,6.51,6.84,6.63,6.66,,,,,,,,,,,,,,
20, 12 ,9.27,8.97,8.96,9.56,9.16,,,,,,,,,,,,,,
40, 12 ,13.99,13.49,13.26,13.77,13.51,,,,,,,,,,,,,,
60, 12 ,18.07,17.99,17.83,17.77,17.86,,,,,,,,,,,,,,
80, 12 ,22.96,22.21,22.24,21.91,22.12,,,,,,,,,,,,,,
100, 12 ,23.83,23.30,23.44,23.15,23.30,,,,,,,,,,,,,,
