shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.31,0.19,0.20,0.20,0.20,,,,1, 1 ,0.19,0.11,0.10,0.10,0.10,,,2.00,0.10
5, 1 ,1.36,0.84,0.78,0.79,0.80,,,,5, 1 ,0.76,0.33,0.32,0.33,0.32,,,2.50,0.48
10, 1 ,3.23,1.52,1.58,1.51,1.54,,,,10, 1 ,2.49,0.61,0.61,0.62,0.61,,,2.52,0.93
20, 1 ,7.09,3.12,2.98,2.92,3.01,,,,20, 1 ,5.66,1.17,1.18,1.18,1.17,,,2.57,1.84
40, 1 ,14.46,6.79,7.35,7.40,7.18,,,,40, 1 ,3.53,3.45,3.44,3.44,3.44,,,2.09,3.74
60, 1 ,21.77,10.40,10.33,10.34,10.36,,,,60, 1 ,5.20,5.14,5.12,5.15,5.14,,,2.02,5.22
80, 1 ,29.25,14.74,14.57,13.75,14.35,,,,80, 1 ,6.84,6.89,6.83,6.83,6.85,,,2.09,7.50
100, 1 ,54.00,33.34,17.95,16.80,22.70,,,,100, 1 ,59.14,7.94,7.74,7.71,7.79,,,2.91,14.91
1, 3 ,0.34,0.22,0.21,0.21,0.21,,,,1, 3 ,0.24,0.19,0.22,0.21,0.21,,,1.00,0.00
5, 3 ,1.52,0.82,0.80,0.81,0.81,,,,5, 3 ,0.62,0.47,0.48,0.48,0.48,,,1.69,0.33
10, 3 ,3.58,1.59,1.73,1.62,1.64,,,,10, 3 ,1.11,0.81,0.82,0.83,0.82,,,2.00,0.82
20, 3 ,7.83,3.14,3.16,3.34,3.22,,,,20, 3 ,2.06,1.49,1.48,1.51,1.49,,,2.16,1.73
40, 3 ,16.33,7.58,7.24,7.75,7.52,,,,40, 3 ,10.06,3.97,3.91,3.94,3.94,,,1.91,3.58
60, 3 ,24.60,11.01,10.81,10.83,10.88,,,,60, 3 ,24.67,5.96,5.81,5.81,5.86,,,1.86,5.02
80, 3 ,33.21,14.69,14.48,14.37,14.51,,,,80, 3 ,32.67,7.95,7.81,7.77,7.84,,,1.85,6.67
100, 3 ,38.07,17.83,17.80,17.69,17.77,,,,100, 3 ,9.16,8.98,8.94,8.89,8.94,,,1.99,8.83
1, 6 ,0.34,0.23,0.24,0.24,0.23,,,,1, 6 ,0.41,0.37,0.35,0.38,0.37,,,0.62,-0.14
5, 6 ,1.54,0.84,0.93,0.86,0.88,,,,5, 6 ,1.04,0.68,0.69,0.64,0.67,,,1.31,0.21
10, 6 ,3.70,1.75,1.72,1.82,1.76,,,,10, 6 ,2.88,1.04,1.03,1.06,1.04,,,1.69,0.72
20, 6 ,7.89,3.35,3.36,3.30,3.34,,,,20, 6 ,7.47,1.81,1.81,1.82,1.82,,,1.84,1.52
40, 6 ,16.41,7.93,7.63,7.70,7.75,,,,40, 6 ,15.39,4.51,4.37,4.37,4.42,,,1.75,3.33
60, 6 ,24.58,11.91,11.29,12.23,11.81,,,,60, 6 ,19.61,6.54,6.41,6.43,6.46,,,1.83,5.35
80, 6 ,26.49,16.30,16.16,16.18,16.21,,,,80, 6 ,22.91,8.52,8.45,8.53,8.50,,,1.91,7.71
100, 6 ,49.18,19.99,18.24,19.67,19.30,,,,100, 6 ,58.70,9.89,10.05,9.80,9.91,,,1.95,9.39
1, 9 ,0.41,0.22,0.23,0.25,0.23,,,,1, 9 ,0.58,0.56,0.58,0.57,0.57,,,0.40,-0.34
5, 9 ,1.79,0.96,0.98,0.91,0.95,,,,5, 9 ,1.48,0.93,0.94,1.03,0.97,,,0.98,-0.02
10, 9 ,3.68,1.90,1.80,1.86,1.85,,,,10, 9 ,3.58,1.44,1.39,1.42,1.42,,,1.30,0.43
20, 9 ,7.79,3.61,3.39,3.43,3.48,,,,20, 9 ,7.75,2.60,2.58,2.42,2.53,,,1.38,0.95
40, 9 ,16.34,7.82,7.78,8.60,8.07,,,,40, 9 ,16.30,5.11,5.11,5.06,5.09,,,1.59,2.98
60, 9 ,24.52,11.78,12.24,12.10,12.04,,,,60, 9 ,24.11,7.50,7.26,7.42,7.39,,,1.63,4.65
80, 9 ,31.96,15.81,15.55,16.86,16.07,,,,80, 9 ,27.38,9.86,9.68,9.71,9.75,,,1.65,6.32
100, 9 ,58.56,20.55,19.66,18.80,19.67,,,,100, 9 ,58.77,11.60,11.39,11.41,11.47,,,1.71,8.20
1, 12 ,0.41,0.27,0.27,0.27,0.27,,,,1, 12 ,0.78,0.75,0.71,0.77,0.74,,,0.36,-0.47
5, 12 ,1.48,1.05,1.03,0.94,1.00,,,,5, 12 ,1.50,1.16,1.19,1.28,1.21,,,0.83,-0.21
10, 12 ,3.61,1.87,1.95,1.81,1.88,,,,10, 12 ,3.65,1.84,1.83,1.85,1.84,,,1.02,0.04
20, 12 ,7.87,3.54,3.84,3.67,3.68,,,,20, 12 ,7.83,3.20,3.23,3.25,3.22,,,1.14,0.46
40, 12 ,16.49,8.09,7.94,8.62,8.22,,,,40, 12 ,16.43,5.67,5.79,5.78,5.75,,,1.43,2.47
60, 12 ,24.50,11.97,12.04,12.30,12.10,,,,60, 12 ,24.41,8.54,8.38,8.36,8.43,,,1.44,3.67
80, 12 ,26.77,16.19,16.46,16.99,16.55,,,,80, 12 ,26.45,11.01,10.97,10.93,10.97,,,1.51,5.58
100, 12 ,0.01,0.01,0.01,0.03,0.02,,,,100, 12 ,0.01,0.03,0.01,0.01,0.02,,,1.00,0.00
broadcast, , , , , , avg,,,,,,,,,,,,,,
1, 1 ,0.19,0.11,0.10,0.10,0.10,,,,,,,,,,,,,,
5, 1 ,0.76,0.33,0.32,0.33,0.32,,,,,,,,,,,,,,
10, 1 ,2.49,0.61,0.61,0.62,0.61,,,,,,,,,,,,,,
20, 1 ,5.66,1.17,1.18,1.18,1.17,,,,,,,,,,,,,,
40, 1 ,3.53,3.45,3.44,3.44,3.44,,,,,,,,,,,,,,
60, 1 ,5.20,5.14,5.12,5.15,5.14,,,,,,,,,,,,,,
80, 1 ,6.84,6.89,6.83,6.83,6.85,,,,,,,,,,,,,,
100, 1 ,59.14,7.94,7.74,7.71,7.79,,,,,,,,,,,,,,
1, 3 ,0.24,0.19,0.22,0.21,0.21,,,,,,,,,,,,,,
5, 3 ,0.62,0.47,0.48,0.48,0.48,,,,,,,,,,,,,,
10, 3 ,1.11,0.81,0.82,0.83,0.82,,,,,,,,,,,,,,
20, 3 ,2.06,1.49,1.48,1.51,1.49,,,,,,,,,,,,,,
40, 3 ,10.06,3.97,3.91,3.94,3.94,,,,,,,,,,,,,,
60, 3 ,24.67,5.96,5.81,5.81,5.86,,,,,,,,,,,,,,
80, 3 ,32.67,7.95,7.81,7.77,7.84,,,,,,,,,,,,,,
100, 3 ,9.16,8.98,8.94,8.89,8.94,,,,,,,,,,,,,,
1, 6 ,0.41,0.37,0.35,0.38,0.37,,,,,,,,,,,,,,
5, 6 ,1.04,0.68,0.69,0.64,0.67,,,,,,,,,,,,,,
10, 6 ,2.88,1.04,1.03,1.06,1.04,,,,,,,,,,,,,,
20, 6 ,7.47,1.81,1.81,1.82,1.82,,,,,,,,,,,,,,
40, 6 ,15.39,4.51,4.37,4.37,4.42,,,,,,,,,,,,,,
60, 6 ,19.61,6.54,6.41,6.43,6.46,,,,,,,,,,,,,,
80, 6 ,22.91,8.52,8.45,8.53,8.50,,,,,,,,,,,,,,
100, 6 ,58.70,9.89,10.05,9.80,9.91,,,,,,,,,,,,,,
1, 9 ,0.58,0.56,0.58,0.57,0.57,,,,,,,,,,,,,,
5, 9 ,1.48,0.93,0.94,1.03,0.97,,,,,,,,,,,,,,
10, 9 ,3.58,1.44,1.39,1.42,1.42,,,,,,,,,,,,,,
20, 9 ,7.75,2.60,2.58,2.42,2.53,,,,,,,,,,,,,,
40, 9 ,16.30,5.11,5.11,5.06,5.09,,,,,,,,,,,,,,
60, 9 ,24.11,7.50,7.26,7.42,7.39,,,,,,,,,,,,,,
80, 9 ,27.38,9.86,9.68,9.71,9.75,,,,,,,,,,,,,,
100, 9 ,58.77,11.60,11.39,11.41,11.47,,,,,,,,,,,,,,
1, 12 ,0.78,0.75,0.71,0.77,0.74,,,,,,,,,,,,,,
5, 12 ,1.50,1.16,1.19,1.28,1.21,,,,,,,,,,,,,,
10, 12 ,3.65,1.84,1.83,1.85,1.84,,,,,,,,,,,,,,
20, 12 ,7.83,3.20,3.23,3.25,3.22,,,,,,,,,,,,,,
40, 12 ,16.43,5.67,5.79,5.78,5.75,,,,,,,,,,,,,,
60, 12 ,24.41,8.54,8.38,8.36,8.43,,,,,,,,,,,,,,
80, 12 ,26.45,11.01,10.97,10.93,10.97,,,,,,,,,,,,,,
100, 12 ,0.01,0.03,0.01,0.01,0.02,,,,,,,,,,,,,,
