shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.06,0.06,0.06,0.06,0.06,,,,1, 1 ,0.20,0.19,0.20,0.19,0.19,,,0.32,-0.13
5, 1 ,0.24,0.21,0.26,0.21,0.23,,,,5, 1 ,0.32,0.29,0.31,0.29,0.30,,,0.77,-0.07
10, 1 ,0.41,0.43,0.41,0.44,0.43,,,,10, 1 ,0.41,0.43,0.40,0.41,0.41,,,1.05,0.02
20, 1 ,0.84,0.74,0.80,0.97,0.84,,,,20, 1 ,0.64,0.59,0.61,0.69,0.63,,,1.33,0.21
40, 1 ,1.61,1.54,1.71,1.40,1.55,,,,40, 1 ,1.27,1.08,1.14,1.18,1.13,,,1.37,0.42
60, 1 ,2.24,2.14,2.05,2.22,2.14,,,,60, 1 ,1.72,1.67,1.66,1.54,1.62,,,1.32,0.52
80, 1 ,3.06,3.02,2.76,2.86,2.88,,,,80, 1 ,2.54,2.07,2.10,2.06,2.08,,,1.38,0.80
100, 1 ,4.06,3.45,3.34,3.47,3.42,,,,100, 1 ,2.84,2.46,2.35,2.55,2.45,,,1.40,0.97
1, 3 ,0.08,0.07,0.08,0.08,0.08,,,,1, 3 ,0.54,0.55,0.56,0.54,0.55,,,0.15,-0.47
5, 3 ,0.26,0.28,0.31,0.29,0.29,,,,5, 3 ,0.76,0.72,0.74,0.66,0.71,,,0.41,-0.42
10, 3 ,0.50,0.56,0.52,0.51,0.53,,,,10, 3 ,0.98,0.98,0.93,1.02,0.97,,,0.55,-0.44
20, 3 ,1.18,1.04,0.93,0.90,0.96,,,,20, 3 ,1.65,1.46,1.45,1.38,1.43,,,0.67,-0.47
40, 3 ,1.94,1.90,1.77,1.67,1.78,,,,40, 3 ,2.53,2.34,2.43,2.37,2.38,,,0.75,-0.60
60, 3 ,2.99,2.76,2.84,2.55,2.72,,,,60, 3 ,3.52,3.22,3.29,3.19,3.23,,,0.84,-0.51
80, 3 ,3.72,3.81,3.59,3.62,3.67,,,,80, 3 ,4.54,4.14,3.93,3.86,3.98,,,0.92,-0.31
100, 3 ,4.27,4.43,4.53,4.41,4.46,,,,100, 3 ,4.94,4.47,4.36,4.23,4.35,,,1.03,0.11
1, 6 ,0.11,0.10,0.10,0.10,0.10,,,,1, 6 ,1.08,1.06,1.05,1.03,1.05,,,0.10,-0.95
5, 6 ,0.40,0.35,0.38,0.37,0.37,,,,5, 6 ,1.23,1.30,1.28,1.33,1.30,,,0.28,-0.93
10, 6 ,0.69,0.68,0.66,0.67,0.67,,,,10, 6 ,1.58,1.74,1.72,1.74,1.74,,,0.39,-1.07
20, 6 ,1.34,1.34,1.40,1.32,1.35,,,,20, 6 ,2.51,2.45,2.40,2.54,2.47,,,0.55,-1.12
40, 6 ,2.80,2.55,2.51,2.48,2.51,,,,40, 6 ,3.79,3.59,3.86,3.69,3.71,,,0.68,-1.20
60, 6 ,3.94,3.88,3.64,3.92,3.81,,,,60, 6 ,4.96,5.16,4.95,4.92,5.01,,,0.76,-1.20
80, 6 ,5.11,5.34,4.94,5.05,5.11,,,,80, 6 ,6.55,6.39,6.19,6.16,6.25,,,0.82,-1.14
100, 6 ,6.08,5.99,6.47,6.07,6.18,,,,100, 6 ,7.52,6.83,6.74,6.71,6.76,,,0.91,-0.58
1, 9 ,0.14,0.13,0.12,0.13,0.13,,,,1, 9 ,1.56,1.54,1.50,1.55,1.53,,,0.08,-1.40
5, 9 ,0.42,0.46,0.43,0.48,0.46,,,,5, 9 ,1.97,1.91,1.97,1.99,1.96,,,0.23,-1.50
10, 9 ,0.85,0.85,0.83,0.80,0.83,,,,10, 9 ,2.47,2.41,2.53,2.48,2.47,,,0.34,-1.64
20, 9 ,1.66,1.57,1.61,1.79,1.66,,,,20, 9 ,3.46,3.47,3.40,3.39,3.42,,,0.49,-1.76
40, 9 ,3.19,3.03,3.10,3.16,3.10,,,,40, 9 ,5.38,5.47,5.43,5.54,5.48,,,0.57,-2.38
60, 9 ,4.98,4.59,4.67,4.71,4.66,,,,60, 9 ,7.55,7.43,7.15,7.11,7.23,,,0.64,-2.57
80, 9 ,6.35,6.33,6.24,6.23,6.27,,,,80, 9 ,9.87,9.20,9.02,8.91,9.05,,,0.69,-2.78
100, 9 ,7.92,7.41,7.39,7.46,7.42,,,,100, 9 ,10.27,9.81,9.74,9.79,9.78,,,0.76,-2.36
1, 12 ,0.17,0.17,0.17,0.17,0.17,,,,1, 12 ,2.07,2.08,2.01,2.02,2.04,,,0.08,-1.87
5, 12 ,0.51,0.50,0.49,0.49,0.50,,,,5, 12 ,2.59,2.63,2.53,2.53,2.56,,,0.20,-2.06
10, 12 ,0.93,0.93,0.93,0.90,0.92,,,,10, 12 ,3.25,3.43,3.35,3.47,3.42,,,0.27,-2.50
