shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.37,0.26,0.25,0.26,0.26,,,,1, 1 ,0.24,0.12,0.12,0.11,0.12,,,2.17,0.14
5, 1 ,1.39,1.02,1.04,0.96,1.01,,,,5, 1 ,1.50,0.41,0.40,0.40,0.40,,,2.52,0.61
10, 1 ,3.24,2.04,1.89,1.89,1.94,,,,10, 1 ,3.93,0.76,0.76,0.76,0.76,,,2.55,1.18
20, 1 ,7.41,3.68,3.90,3.70,3.76,,,,20, 1 ,8.63,1.50,1.51,1.52,1.51,,,2.49,2.25
40, 1 ,15.18,8.55,8.66,9.10,8.77,,,,40, 1 ,4.37,4.26,4.23,4.23,4.24,,,2.07,4.53
60, 1 ,18.52,13.74,13.67,12.89,13.44,,,,60, 1 ,6.31,6.31,6.29,6.34,6.31,,,2.13,7.13
80, 1 ,36.53,17.70,18.30,17.35,17.78,,,,80, 1 ,8.44,8.39,8.41,8.42,8.41,,,2.11,9.37
100, 1 ,72.88,26.30,22.47,21.17,23.31,,,,100, 1 ,77.46,18.91,9.46,9.48,12.62,,,1.85,10.69
1, 3 ,0.36,0.25,0.27,0.25,0.26,,,,1, 3 ,0.27,0.21,0.23,0.23,0.23,,,1.13,0.03
5, 3 ,2.07,1.08,1.00,1.01,1.03,,,,5, 3 ,1.54,0.52,0.54,0.54,0.53,,,1.94,0.50
10, 3 ,5.01,1.93,1.97,1.94,1.95,,,,10, 3 ,3.99,0.95,0.98,0.96,0.96,,,2.03,0.99
20, 3 ,10.83,4.13,4.21,3.83,4.06,,,,20, 3 ,8.38,1.83,1.84,1.79,1.82,,,2.23,2.24
40, 3 ,22.06,9.16,9.10,9.58,9.28,,,,40, 3 ,4.79,4.71,4.74,4.76,4.74,,,1.96,4.54
60, 3 ,34.11,14.73,14.38,14.39,14.50,,,,60, 3 ,32.42,8.53,7.12,7.05,7.57,,,1.92,6.93
80, 3 ,47.76,18.22,18.04,19.03,18.43,,,,80, 3 ,51.62,9.79,9.40,9.38,9.52,,,1.94,8.91
100, 3 ,70.66,26.49,22.00,22.08,23.52,,,,100, 3 ,69.50,14.73,10.68,10.63,12.01,,,1.96,11.51
1, 6 ,0.41,0.27,0.25,0.27,0.27,,,,1, 6 ,0.41,0.40,0.38,0.39,0.39,,,0.69,-0.12
5, 6 ,2.14,1.06,1.16,1.09,1.10,,,,5, 6 ,1.95,0.76,0.76,0.81,0.78,,,1.41,0.32
10, 6 ,4.98,2.05,2.09,2.21,2.12,,,,10, 6 ,4.89,1.24,1.21,1.22,1.23,,,1.72,0.89
20, 6 ,10.78,4.37,3.99,4.43,4.26,,,,20, 6 ,10.61,2.14,2.15,2.12,2.14,,,1.99,2.12
40, 6 ,22.13,9.38,9.29,10.01,9.56,,,,40, 6 ,22.05,5.24,5.22,5.22,5.23,,,1.83,4.33
60, 6 ,34.93,14.22,13.86,13.90,13.99,,,,60, 6 ,33.31,7.93,7.66,7.83,7.81,,,1.79,6.18
80, 6 ,47.18,18.80,18.82,18.81,18.81,,,,80, 6 ,50.48,10.42,10.09,10.14,10.22,,,1.84,8.59
100, 6 ,70.68,25.61,24.28,24.14,24.67,,,,100, 6 ,70.63,19.58,11.69,11.69,14.32,,,1.72,10.35
1, 9 ,0.47,0.29,0.29,0.30,0.29,,,,1, 9 ,0.59,0.57,0.58,0.58,0.58,,,0.50,-0.29
5, 9 ,2.19,1.19,1.12,1.22,1.18,,,,5, 9 ,1.97,0.96,1.01,1.04,1.00,,,1.18,0.18
10, 9 ,5.04,2.11,2.19,2.29,2.19,,,,10, 9 ,4.87,1.56,1.53,1.52,1.54,,,1.42,0.65
20, 9 ,10.91,4.59,4.67,4.35,4.54,,,,20, 9 ,10.62,2.61,2.62,2.79,2.67,,,1.70,1.87
40, 9 ,22.18,9.63,10.02,10.40,10.02,,,,40, 9 ,21.98,5.93,5.86,5.96,5.91,,,1.70,4.11
60, 9 ,34.96,14.68,14.43,14.55,14.55,,,,60, 9 ,33.80,8.88,8.62,8.62,8.70,,,1.67,5.85
80, 9 ,47.41,21.00,19.80,20.81,20.53,,,,80, 9 ,49.53,11.87,11.42,11.30,11.53,,,1.78,9.00
100, 9 ,71.09,27.71,23.67,23.73,25.04,,,,100, 9 ,71.16,19.08,13.22,13.15,15.15,,,1.65,9.89
1, 12 ,0.48,0.29,0.32,0.31,0.31,,,,1, 12 ,0.85,0.78,0.75,0.76,0.76,,,0.41,-0.45
5, 12 ,2.09,1.28,1.17,1.13,1.19,,,,5, 12 ,2.02,1.26,1.18,1.29,1.24,,,0.96,-0.05
10, 12 ,5.18,2.24,2.39,2.40,2.34,,,,10, 12 ,5.07,1.95,2.08,2.03,2.02,,,1.16,0.32
20, 12 ,10.88,4.71,4.27,4.32,4.44,,,,20, 12 ,10.58,3.37,3.28,3.38,3.34,,,1.33,1.10
40, 12 ,22.24,10.84,10.84,9.87,10.52,,,,40, 12 ,22.08,6.61,6.63,6.81,6.68,,,1.57,3.84
60, 12 ,34.90,16.19,15.96,15.93,16.03,,,,60, 12 ,34.46,9.87,9.64,9.53,9.68,,,1.66,6.35
80, 12 ,46.86,21.56,20.28,19.78,20.54,,,,80, 12 ,47.31,12.95,12.55,12.51,12.67,,,1.62,7.87
100, 12 ,0.01,0.05,0.01,0.04,0.03,,,,100, 12 ,0.01,0.04,0.01,0.05,0.03,,,1.00,0.00
broadcast, , , , , , avg,,,,,,,,,,,,,,
1, 1 ,0.24,0.12,0.12,0.11,0.12,,,,,,,,,,,,,,
5, 1 ,1.50,0.41,0.40,0.40,0.40,,,,,,,,,,,,,,
10, 1 ,3.93,0.76,0.76,0.76,0.76,,,,,,,,,,,,,,
20, 1 ,8.63,1.50,1.51,1.52,1.51,,,,,,,,,,,,,,
40, 1 ,4.37,4.26,4.23,4.23,4.24,,,,,,,,,,,,,,
60, 1 ,6.31,6.31,6.29,6.34,6.31,,,,,,,,,,,,,,
80, 1 ,8.44,8.39,8.41,8.42,8.41,,,,,,,,,,,,,,
100, 1 ,77.46,18.91,9.46,9.48,12.62,,,,,,,,,,,,,,
1, 3 ,0.27,0.21,0.23,0.23,0.23,,,,,,,,,,,,,,
