shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.07,0.08,0.07,0.07,0.07,,,,1, 1 ,0.07,0.07,0.07,0.08,0.07,,,1.00,0.00
5, 1 ,0.28,0.30,0.24,0.23,0.26,,,,5, 1 ,0.18,0.17,0.16,0.15,0.16,,,1.62,0.10
10, 1 ,0.51,0.45,0.48,0.43,0.45,,,,10, 1 ,0.29,0.25,0.25,0.24,0.25,,,1.80,0.20
20, 1 ,1.05,1.02,0.89,0.90,0.94,,,,20, 1 ,0.50,0.44,0.45,0.49,0.46,,,2.04,0.48
40, 1 ,1.88,1.64,1.78,1.66,1.69,,,,40, 1 ,0.95,0.86,0.86,0.82,0.85,,,1.99,0.84
60, 1 ,2.83,2.61,2.45,2.55,2.54,,,,60, 1 ,1.39,1.23,1.22,1.29,1.25,,,2.03,1.29
80, 1 ,3.60,3.41,3.55,3.13,3.37,,,,80, 1 ,1.80,1.68,1.75,1.58,1.67,,,2.02,1.70
100, 1 ,4.54,4.07,4.37,4.28,4.24,,,,100, 1 ,2.37,2.12,2.07,2.06,2.08,,,2.04,2.16
1, 3 ,0.08,0.07,0.09,0.07,0.07,,,,1, 3 ,0.18,0.18,0.20,0.18,0.19,,,0.37,-0.12
5, 3 ,0.33,0.29,0.25,0.26,0.26,,,,5, 3 ,0.33,0.31,0.29,0.31,0.30,,,0.87,-0.04
10, 3 ,0.58,0.53,0.50,0.56,0.53,,,,10, 3 ,0.49,0.49,0.47,0.46,0.47,,,1.13,0.06
20, 3 ,1.00,1.05,0.99,0.87,0.97,,,,20, 3 ,0.91,0.83,0.78,0.75,0.78,,,1.24,0.19
40, 3 ,1.97,1.74,1.75,1.97,1.82,,,,40, 3 ,1.71,1.51,1.41,1.55,1.49,,,1.22,0.33
60, 3 ,3.04,2.61,2.75,2.89,2.75,,,,60, 3 ,2.42,2.05,2.14,2.03,2.07,,,1.33,0.68
80, 3 ,4.36,3.52,3.65,3.81,3.66,,,,80, 3 ,3.07,2.77,2.68,2.71,2.72,,,1.35,0.94
100, 3 ,5.29,4.42,4.43,4.26,4.37,,,,100, 3 ,4.06,3.35,3.43,3.45,3.41,,,1.28,0.96
1, 6 ,0.09,0.08,0.08,0.08,0.08,,,,1, 6 ,0.35,0.34,0.35,0.35,0.35,,,0.23,-0.27
5, 6 ,0.35,0.33,0.34,0.33,0.33,,,,5, 6 ,0.53,0.53,0.52,0.50,0.52,,,0.63,-0.19
10, 6 ,0.63,0.64,0.55,0.52,0.57,,,,10, 6 ,0.74,0.75,0.75,0.76,0.75,,,0.76,-0.18
20, 6 ,1.23,1.13,1.27,1.06,1.15,,,,20, 6 ,1.24,1.14,1.18,1.06,1.13,,,1.02,0.02
40, 6 ,2.41,2.21,2.01,2.28,2.17,,,,40, 6 ,2.14,1.90,2.03,1.89,1.94,,,1.12,0.23
60, 6 ,3.34,3.62,3.26,3.15,3.34,,,,60, 6 ,3.26,2.84,2.80,2.78,2.81,,,1.19,0.53
80, 6 ,4.43,3.89,4.28,4.48,4.22,,,,80, 6 ,4.05,3.70,3.44,3.61,3.58,,,1.18,0.64
100, 6 ,5.37,4.88,5.15,5.04,5.02,,,,100, 6 ,5.15,3.91,4.33,4.01,4.08,,,1.23,0.94
1, 9 ,0.11,0.10,0.10,0.10,0.10,,,,1, 9 ,0.53,0.54,0.52,0.52,0.52,,,0.19,-0.42
5, 9 ,0.38,0.35,0.38,0.36,0.37,,,,5, 9 ,0.81,0.79,0.78,0.75,0.78,,,0.47,-0.41
10, 9 ,0.69,0.65,0.73,0.74,0.71,,,,10, 9 ,1.12,1.11,1.08,1.02,1.07,,,0.66,-0.36
20, 9 ,1.33,1.37,1.40,1.30,1.36,,,,20, 9 ,1.79,1.53,1.58,1.64,1.58,,,0.86,-0.22
40, 9 ,2.72,2.53,2.47,2.72,2.58,,,,40, 9 ,2.90,2.56,2.67,2.55,2.60,,,0.99,-0.02
60, 9 ,3.78,3.76,3.93,4.05,3.91,,,,60, 9 ,4.18,3.78,3.82,3.74,3.78,,,1.03,0.13
80, 9 ,5.11,5.20,5.19,5.22,5.20,,,,80, 9 ,5.31,4.82,4.71,4.63,4.72,,,1.10,0.48
100, 9 ,5.88,6.17,6.26,5.87,6.10,,,,100, 9 ,6.54,5.66,5.45,5.54,5.55,,,1.10,0.55
1, 12 ,0.11,0.10,0.10,0.10,0.10,,,,1, 12 ,0.71,0.70,0.69,0.67,0.69,,,0.14,-0.59
5, 12 ,0.40,0.39,0.38,0.38,0.39,,,,5, 12 ,0.96,0.97,0.95,0.99,0.97,,,0.40,-0.58
10, 12 ,0.66,0.72,0.71,0.84,0.76,,,,10, 12 ,1.39,1.32,1.28,1.25,1.29,,,0.59,-0.53
20, 12 ,1.40,1.46,1.38,1.33,1.39,,,,20, 12 ,2.26,1.98,2.09,2.03,2.03,,,0.68,-0.64
40, 12 ,2.81,2.66,2.77,2.92,2.79,,,,40, 12 ,3.73,3.28,3.28,3.35,3.31,,,0.84,-0.52
60, 12 ,4.19,3.83,4.22,4.34,4.13,,,,60, 12 ,5.17,4.61,4.84,4.52,4.66,,,0.89,-0.53
80, 12 ,5.53,5.58,5.78,5.57,5.64,,,,80, 12 ,6.64,5.89,6.10,5.74,5.91,,,0.95,-0.27
100, 12 ,0.01,0.01,0.01,0.01,0.01,,,,100, 12 ,0.01,0.01,0.01,0.01,0.01,,,1.00,0.00
broadcast, , , , , , avg,,,,,,,,,,,,,,
1, 1 ,0.07,0.07,0.07,0.08,0.07,,,,,,,,,,,,,,
5, 1 ,0.18,0.17,0.16,0.15,0.16,,,,,,,,,,,,,,
10, 1 ,0.29,0.25,0.25,0.24,0.25,,,,,,,,,,,,,,
20, 1 ,0.50,0.44,0.45,0.49,0.46,,,,,,,,,,,,,,
40, 1 ,0.95,0.86,0.86,0.82,0.85,,,,,,,,,,,,,,
60, 1 ,1.39,1.23,1.22,1.29,1.25,,,,,,,,,,,,,,
80, 1 ,1.80,1.68,1.75,1.58,1.67,,,,,,,,,,,,,,
100, 1 ,2.37,2.12,2.07,2.06,2.08,,,,,,,,,,,,,,
1, 3 ,0.18,0.18,0.20,0.18,0.19,,,,,,,,,,,,,,
5, 3 ,0.33,0.31,0.29,0.31,0.30,,,,,,,,,,,,,,
10, 3 ,0.49,0.49,0.47,0.46,0.47,,,,,,,,,,,,,,
20, 3 ,0.91,0.83,0.78,0.75,0.78,,,,,,,,,,,,,,
40, 3 ,1.71,1.51,1.41,1.55,1.49,,,,,,,,,,,,,,
60, 3 ,2.42,2.05,2.14,2.03,2.07,,,,,,,,,,,,,,
80, 3 ,3.07,2.77,2.68,2.71,2.72,,,,,,,,,,,,,,
100, 3 ,4.06,3.35,3.43,3.45,3.41,,,,,,,,,,,,,,
1, 6 ,0.35,0.34,0.35,0.35,0.35,,,,,,,,,,,,,,
5, 6 ,0.53,0.53,0.52,0.50,0.52,,,,,,,,,,,,,,
10, 6 ,0.74,0.75,0.75,0.76,0.75,,,,,,,,,,,,,,
20, 6 ,1.24,1.14,1.18,1.06,1.13,,,,,,,,,,,,,,
40, 6 ,2.14,1.90,2.03,1.89,1.94,,,,,,,,,,,,,,
60, 6 ,3.26,2.84,2.80,2.78,2.81,,,,,,,,,,,,,,
80, 6 ,4.05,3.70,3.44,3.61,3.58,,,,,,,,,,,,,,
100, 6 ,5.15,3.91,4.33,4.01,4.08,,,,,,,,,,,,,,
1, 9 ,0.53,0.54,0.52,0.52,0.52,,,,,,,,,,,,,,
5, 9 ,0.81,0.79,0.78,0.75,0.78,,,,,,,,,,,,,,
10, 9 ,1.12,1.11,1.08,1.02,1.07,,,,,,,,,,,,,,
20, 9 ,1.79,1.53,1.58,1.64,1.58,,,,,,,,,,,,,,
40, 9 ,2.90,2.56,2.67,2.55,2.60,,,,,,,,,,,,,,
60, 9 ,4.18,3.78,3.82,3.74,3.78,,,,,,,,,,,,,,
80, 9 ,5.31,4.82,4.71,4.63,4.72,,,,,,,,,,,,,,
100, 9 ,6.54,5.66,5.45,5.54,5.55,,,,,,,,,,,,,,
1, 12 ,0.71,0.70,0.69,0.67,0.69,,,,,,,,,,,,,,
5, 12 ,0.96,0.97,0.95,0.99,0.97,,,,,,,,,,,,,,
10, 12 ,1.39,1.32,1.28,1.25,1.29,,,,,,,,,,,,,,
20, 12 ,2.26,1.98,2.09,2.03,2.03,,,,,,,,,,,,,,
40, 12 ,3.73,3.28,3.28,3.35,3.31,,,,,,,,,,,,,,
60, 12 ,5.17,4.61,4.84,4.52,4.66,,,,,,,,,,,,,,
80, 12 ,6.64,5.89,6.10,5.74,5.91,,,,,,,,,,,,,,
100, 12 ,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,
