shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.06,0.06,0.06,0.06,0.06,,,,1, 1 ,0.11,0.12,0.11,0.11,0.11,,,0.55,-0.05
5, 1 ,0.23,0.22,0.24,0.20,0.22,,,,5, 1 ,0.21,0.18,0.20,0.19,0.19,,,1.16,0.03
10, 1 ,0.44,0.36,0.50,0.39,0.41,,,,10, 1 ,0.29,0.27,0.31,0.29,0.29,,,1.41,0.12
20, 1 ,0.84,0.73,0.76,0.66,0.72,,,,20, 1 ,0.49,0.47,0.47,0.48,0.47,,,1.53,0.25
40, 1 ,1.43,1.39,1.30,1.38,1.36,,,,40, 1 ,0.88,0.85,0.90,0.85,0.86,,,1.58,0.50
60, 1 ,2.20,2.24,2.11,2.23,2.19,,,,60, 1 ,1.18,1.37,1.31,1.29,1.32,,,1.66,0.87
80, 1 ,2.65,2.73,2.56,2.59,2.63,,,,80, 1 ,1.66,1.63,1.64,1.57,1.62,,,1.62,1.01
100, 1 ,3.64,3.17,3.11,3.18,3.15,,,,100, 1 ,2.34,1.91,1.95,2.08,1.98,,,1.59,1.17
1, 3 ,0.08,0.07,0.07,0.07,0.07,,,,1, 3 ,0.30,0.30,0.29,0.28,0.29,,,0.24,-0.22
5, 3 ,0.27,0.28,0.29,0.25,0.27,,,,5, 3 ,0.43,0.45,0.45,0.42,0.44,,,0.61,-0.17
10, 3 ,0.50,0.44,0.48,0.43,0.45,,,,10, 3 ,0.60,0.61,0.57,0.66,0.61,,,0.74,-0.16
20, 3 ,0.91,0.84,0.81,0.82,0.82,,,,20, 3 ,1.01,0.89,0.88,1.04,0.94,,,0.87,-0.12
40, 3 ,1.57,1.61,1.62,1.60,1.61,,,,40, 3 ,1.85,1.63,1.72,1.66,1.67,,,0.96,-0.06
60, 3 ,2.56,2.61,2.31,2.48,2.47,,,,60, 3 ,2.52,2.42,2.32,2.37,2.37,,,1.04,0.10
80, 3 ,3.09,3.06,3.32,3.13,3.17,,,,80, 3 ,3.34,2.92,3.16,3.09,3.05,,,1.04,0.12
100, 3 ,4.20,3.58,4.11,3.95,3.88,,,,100, 3 ,3.85,3.41,3.64,3.40,3.48,,,1.11,0.40
1, 6 ,0.09,0.08,0.07,0.08,0.08,,,,1, 6 ,0.57,0.60,0.56,0.57,0.58,,,0.14,-0.50
5, 6 ,0.26,0.31,0.30,0.32,0.31,,,,5, 6 ,0.78,0.78,0.73,0.79,0.77,,,0.40,-0.46
