shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.20,0.10,0.09,0.09,0.09,,,,1, 1 ,0.79,0.78,0.80,0.82,0.80,,,0.11,-0.71
5, 1 ,0.34,0.35,0.34,0.37,0.35,,,,5, 1 ,1.03,1.04,1.06,0.88,1.00,,,0.35,-0.65
10, 1 ,0.64,0.61,0.67,0.65,0.64,,,,10, 1 ,1.23,1.28,1.26,1.26,1.27,,,0.50,-0.63
20, 1 ,1.21,1.18,1.15,1.13,1.15,,,,20, 1 ,1.74,1.95,1.73,1.85,1.84,,,0.62,-0.69
40, 1 ,2.31,2.22,2.40,2.40,2.34,,,,40, 1 ,2.74,2.84,2.82,2.61,2.76,,,0.85,-0.42
60, 1 ,3.72,3.31,3.58,3.35,3.41,,,,60, 1 ,3.98,3.68,3.59,3.59,3.62,,,0.94,-0.21
80, 1 ,4.54,4.64,4.45,4.60,4.56,,,,80, 1 ,4.99,4.51,4.58,4.41,4.50,,,1.01,0.06
100, 1 ,10.43,5.81,5.59,5.40,5.60,,,,100, 1 ,5.33,4.84,5.01,4.79,4.88,,,1.15,0.72
1, 3 ,0.18,0.17,0.17,0.17,0.17,,,,1, 3 ,2.32,2.27,2.34,2.31,2.31,,,0.07,-2.14
5, 3 ,0.53,0.58,0.52,0.55,0.55,,,,5, 3 ,2.86,2.76,2.77,2.72,2.75,,,0.20,-2.20
10, 3 ,1.02,1.01,1.03,1.01,1.02,,,,10, 3 ,3.44,3.47,3.49,3.33,3.43,,,0.30,-2.41
20, 3 ,2.09,1.98,1.96,2.08,2.00,,,,20, 3 ,4.69,4.51,4.36,4.37,4.41,,,0.45,-2.41
40, 3 ,3.81,3.79,3.77,3.95,3.83,,,,40, 3 ,6.82,6.75,6.62,6.81,6.73,,,0.57,-2.90
60, 3 ,5.99,5.70,5.57,5.58,5.62,,,,60, 3 ,8.99,8.69,8.72,8.56,8.66,,,0.65,-3.04
80, 3 ,7.48,7.52,7.60,7.36,7.49,,,,80, 3 ,11.08,11.16,10.89,10.81,10.95,,,0.68,-3.46
100, 3 ,9.20,8.91,8.87,8.96,8.91,,,,100, 3 ,12.14,11.43,11.20,11.21,11.28,,,0.79,-2.37
1, 6 ,0.31,0.28,0.28,0.30,0.29,,,,1, 6 ,4.62,4.47,4.64,5.88,5.00,,,0.06,-4.71
5, 6 ,0.85,0.92,0.85,0.85,0.87,,,,5, 6 ,6.23,5.65,5.59,5.41,5.55,,,0.16,-4.68
10, 6 ,1.60,1.63,1.55,1.70,1.63,,,,10, 6 ,7.08,6.54,6.50,6.43,6.49,,,0.25,-4.86
20, 6 ,2.97,2.99,2.92,2.95,2.95,,,,20, 6 ,9.38,8.54,8.52,8.50,8.52,,,0.35,-5.57
40, 6 ,5.90,6.01,5.63,5.76,5.80,,,,40, 6 ,12.88,12.27,12.60,12.19,12.35,,,0.47,-6.55
60, 6 ,8.76,8.44,8.39,8.62,8.48,,,,60, 6 ,16.74,16.23,16.08,16.91,16.41,,,0.52,-7.93
80, 6 ,11.29,11.48,11.32,11.72,11.51,,,,80, 6 ,20.58,20.05,20.03,20.14,20.07,,,0.57,-8.56
100, 6 ,13.67,13.79,13.70,13.30,13.60,,,,100, 6 ,21.23,20.57,20.44,20.66,20.56,,,0.66,-6.96
1, 9 ,0.42,0.38,0.38,0.38,0.38,,,,1, 9 ,6.54,6.79,8.62,6.64,7.35,,,0.05,-6.97
5, 9 ,1.15,1.17,1.20,1.12,1.16,,,,5, 9 ,8.08,8.21,7.88,7.99,8.03,,,0.14,-6.87
10, 9 ,2.04,2.10,2.13,2.07,2.10,,,,10, 9 ,9.71,9.53,9.42,9.49,9.48,,,0.22,-7.38
20, 9 ,3.98,4.06,4.09,4.04,4.06,,,,20, 9 ,12.68,12.60,12.60,12.55,12.58,,,0.32,-8.52
40, 9 ,7.94,7.96,7.65,8.14,7.92,,,,40, 9 ,18.92,18.44,18.67,18.35,18.48,,,0.43,-10.56
60, 9 ,12.19,11.73,12.42,11.42,11.86,,,,60, 9 ,24.45,24.47,24.05,24.41,24.31,,,0.49,-12.45
80, 9 ,15.45,15.04,16.01,15.40,15.48,,,,80, 9 ,30.78,29.78,30.04,30.62,30.14,,,0.51,-14.66
100, 9 ,18.95,18.54,19.49,18.79,18.94,,,,100, 9 ,31.59,30.86,30.81,31.29,30.99,,,0.61,-12.05
1, 12 ,0.55,0.48,0.53,0.48,0.50,,,,1, 12 ,8.61,9.56,9.30,8.94,9.27,,,0.05,-8.77
5, 12 ,1.43,1.40,1.39,1.40,1.39,,,,5, 12 ,10.80,10.79,10.96,11.49,11.08,,,0.13,-9.69
10, 12 ,2.66,2.76,2.57,2.64,2.65,,,,10, 12 ,12.76,12.73,12.63,12.61,12.66,,,0.21,-10.01
20, 12 ,4.87,4.94,4.88,4.87,4.90,,,,20, 12 ,17.23,16.89,17.24,16.91,17.01,,,0.29,-12.11
40, 12 ,9.77,9.33,9.77,9.79,9.63,,,,40, 12 ,25.60,25.30,24.94,25.00,25.08,,,0.38,-15.45
60, 12 ,14.49,14.17,14.17,14.08,14.14,,,,60, 12 ,33.42,33.01,33.98,33.16,33.38,,,0.42,-19.24
80, 12 ,19.00,18.47,19.11,19.20,18.93,,,,80, 12 ,40.72,40.40,40.66,40.57,40.54,,,0.47,-21.61
100, 12 ,21.66,22.21,22.35,22.75,22.44,,,,100, 12 ,42.23,41.98,42.29,41.77,42.01,,,0.53,-19.57
broadcast, , , , , , avg,,,,,,,,,,,,,,
1, 1 ,0.79,0.78,0.80,0.82,0.80,,,,,,,,,,,,,,
5, 1 ,1.03,1.04,1.06,0.88,1.00,,,,,,,,,,,,,,
10, 1 ,1.23,1.28,1.26,1.26,1.27,,,,,,,,,,,,,,
20, 1 ,1.74,1.95,1.73,1.85,1.84,,,,,,,,,,,,,,
40, 1 ,2.74,2.84,2.82,2.61,2.76,,,,,,,,,,,,,,
60, 1 ,3.98,3.68,3.59,3.59,3.62,,,,,,,,,,,,,,
80, 1 ,4.99,4.51,4.58,4.41,4.50,,,,,,,,,,,,,,
100, 1 ,5.33,4.84,5.01,4.79,4.88,,,,,,,,,,,,,,
1, 3 ,2.32,2.27,2.34,2.31,2.31,,,,,,,,,,,,,,
5, 3 ,2.86,2.76,2.77,2.72,2.75,,,,,,,,,,,,,,
10, 3 ,3.44,3.47,3.49,3.33,3.43,,,,,,,,,,,,,,
20, 3 ,4.69,4.51,4.36,4.37,4.41,,,,,,,,,,,,,,
40, 3 ,6.82,6.75,6.62,6.81,6.73,,,,,,,,,,,,,,
60, 3 ,8.99,8.69,8.72,8.56,8.66,,,,,,,,,,,,,,
80, 3 ,11.08,11.16,10.89,10.81,10.95,,,,,,,,,,,,,,
100, 3 ,12.14,11.43,11.20,11.21,11.28,,,,,,,,,,,,,,
1, 6 ,4.62,4.47,4.64,5.88,5.00,,,,,,,,,,,,,,
5, 6 ,6.23,5.65,5.59,5.41,5.55,,,,,,,,,,,,,,
10, 6 ,7.08,6.54,6.50,6.43,6.49,,,,,,,,,,,,,,
20, 6 ,9.38,8.54,8.52,8.50,8.52,,,,,,,,,,,,,,
40, 6 ,12.88,12.27,12.60,12.19,12.35,,,,,,,,,,,,,,
60, 6 ,16.74,16.23,16.08,16.91,16.41,,,,,,,,,,,,,,
80, 6 ,20.58,20.05,20.03,20.14,20.07,,,,,,,,,,,,,,
100, 6 ,21.23,20.57,20.44,20.66,20.56,,,,,,,,,,,,,,
1, 9 ,6.54,6.79,8.62,6.64,7.35,,,,,,,,,,,,,,
5, 9 ,8.08,8.21,7.88,7.99,8.03,,,,,,,,,,,,,,
10, 9 ,9.71,9.53,9.42,9.49,9.48,,,,,,,,,,,,,,
20, 9 ,12.68,12.60,12.60,12.55,12.58,,,,,,,,,,,,,,
40, 9 ,18.92,18.44,18.67,18.35,18.48,,,,,,,,,,,,,,
60, 9 ,24.45,24.47,24.05,24.41,24.31,,,,,,,,,,,,,,
80, 9 ,30.78,29.78,30.04,30.62,30.14,,,,,,,,,,,,,,
100, 9 ,31.59,30.86,30.81,31.29,30.99,,,,,,,,,,,,,,
1, 12 ,8.61,9.56,9.30,8.94,9.27,,,,,,,,,,,,,,
5, 12 ,10.80,10.79,10.96,11.49,11.08,,,,,,,,,,,,,,
10, 12 ,12.76,12.73,12.63,12.61,12.66,,,,,,,,,,,,,,
20, 12 ,17.23,16.89,17.24,16.91,17.01,,,,,,,,,,,,,,
40, 12 ,25.60,25.30,24.94,25.00,25.08,,,,,,,,,,,,,,
60, 12 ,33.42,33.01,33.98,33.16,33.38,,,,,,,,,,,,,,
80, 12 ,40.72,40.40,40.66,40.57,40.54,,,,,,,,,,,,,,
100, 12 ,42.23,41.98,42.29,41.77,42.01,,,,,,,,,,,,,,
